"source","target","value"
"Agriculture and rural land management","Land use - arable",1
"Agriculture and rural land management","Poor nutrient management",1
"Agriculture and rural land management","Poor soil management",1
"Agriculture and rural land management","Riparian/in-river activities (inc bankside erosion)",1
"Domestic General Public","Misconnections",2
"Other","Private Sewage Treatment",3
"Urban and transport","Transport Drainage",2
"Urban and transport","Urbanisation - urban development",1
"Water Industry","Sewage discharge (continuous)",2
"Water Industry","Sewage discharge (intermittent)",2
