"","X","text","n"
"1",1,"arctic bay yab",1969
"2",2,"an estimated arrival",863
"3",3,"arctic bay cyab",528
"4",4,"canadian north airlines",278
"5",5,"fort pond bay",267
"6",6,"a mill pond",237
"7",7,"first air",214
"8",8,"salt pond bay",197
"9",9,"the east pond",194
"10",10,"the bay area",176
"11",11,"bay wildlife refuge",159
"12",12,"the west pond",152
"13",13,"bonne bay pond",151
"14",14,"cyio pond inlet",146
"15",15,"the tanda bay area",106
"16",16,"100 pond bay",99
"17",17,"jamaica bay wildlife refuge",92
"18",18,"both fort pond bay",91
"19",19,"the block island sound",91
"20",20,"wicked comic stuido 171 clay pond road gen macarthur blvd buzzards bay",87
"21",21,"winter pond triple arch 3d bay window mini kit",87
"22",22,"the chesapeake bay",84
"23",23,"calm air  at72",83
"24",24,"dalgety bay garden pond",82
"25",25,"a small pond",80
