"","X","text","n"
"1",1,"hutchinson river pkwy sb",188
"2",2,"fallon oak brook oak forest oak lawn oak park olympia",136
"3",3,"hutchinson river pkwy nb",135
"4",4,"murphysboro naperville new lenox niles",105
"5",5,"north aurora northbrook northfield northlake",87
"6",6,"a virgil flowers",81
"7",7,"the hutchinson river pkwy nb",57
"8",8,"north aurora northbrook",56
"9",9,"e sandford blvd delay",54
"10",10,"outage yarmouth hebronwellingtondarlings lakeport maitlandshort beachsandfordbeaver",54
"11",11,"naperville new lenox niles",52
"12",12,"the river thames",51
"13",13,"e sandford blvdx8 sb",49
"14",14,"mount prospect mount vernon",49
"15",15,"e sandford blvd",42
"16",16,"4 of 5 stars",36
"17",17,"mad river virgil flowers",31
"18",18,"monticello morris morton",31
"19",19,"northlake oak brook oak forest oak lawn oak park olympia",30
"20",20,"traffic  average speed",30
"21",21,"orchard beach stop",27
"22",22,"the hutchinson river pkwy",26
"23",23,"fallon oak brook oak lawn olympia",25
"24",24,"normal northbrook northfield",25
"25",25,"lakeport maitlandshort beachsandfordbeaver",22
