"source","target","value"
"Domestic General Public","Misconnections",4
"Local and Central Government","Barriers - ecological discontinuity",1
"Local and Central Government","Coastal erosion protection and control - structure",1
"Local and Central Government","Other (not in list, must add details in comments)",1
"No sector responsible","Drought",1
"No sector responsible","Low Flow (not drought)",1
"Sector under investigation","Unknown (pending investigation)",2
"Urban and transport","Other (not in list, must add details in comments)",1
"Urban and transport","Urbanisation - urban development",1
"Water Industry","Sewage discharge (continuous)",4
"Water Industry","Sewage discharge (intermittent)",4
