"","X","text","n"
"1",1,"the river mimram",217
"2",2,"the sequatchie river",145
"3",3,"the flood warning",38
"4",4,"the following rivers",26
"5",5,"sequatchie river",25
"6",6,"the forecasted crest",21
"7",7,"a small river",16
"8",8,"the mimram river",12
"9",9,"a flood warning",10
"10",10,"28 436 pm cdt",9
"11",11,"a minor flood stage",9
"12",12,"oct 30 100 pm cdt",9
"13",13,"3 300 pm",8
"14",14,"19 412 pm",7
"15",15,"a photo  river mimram",7
"16",16,"victorian watercolour river landscape",7
"17",17,"29 700 pm edt",6
"18",18,"30 200 pm edt",6
"19",19,"19 531 pm cdt",5
"20",20,"2 230 pm cdt",5
"21",21,"26 100 pm cdt",5
"22",22,"26 1220 pm cdt",5
"23",23,"27 100 pm cdt",5
"24",24,"27 300 pm cdt",5
"25",25,"28 548 pm cdt",5
