"source","target","value"
"Agriculture and rural land management","Barriers - ecological discontinuity",1
"Industry","Contaminated land",1
"Local and Central Government","Barriers - ecological discontinuity",2
"Local and Central Government","Other (not in list, must add details in comments)",1
"Sector under investigation","Unknown (pending investigation)",6
"Urban and transport","Contaminated land",1
"Urban and transport","Flood protection - structures",1
"Urban and transport","Reservoir / Impoundment - non flow related",1
"Urban and transport","Urbanisation - urban development",2
"Water Industry","Groundwater abstraction",1
