"source","target","value"
"Agriculture and rural land management","Barriers - ecological discontinuity",1
"Agriculture and rural land management","Land use - forestry",1
"Agriculture and rural land management","Poor Livestock Management",2
"Domestic General Public","Misconnections",2
"Local and Central Government","Barriers - ecological discontinuity",1
"Local and Central Government","Other (not in list, must add details in comments)",1
"Urban and transport","Other (not in list, must add details in comments)",1
"Urban and transport","Sewage discharge (intermittent)",1
"Water Industry","Barriers - ecological discontinuity",1
"Water Industry","Sewage discharge (continuous)",1
"Water Industry","Sewage discharge (intermittent)",4
