"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039017621","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"2","GB106039017621","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"3","GB106039017621","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"4","GB106039017621","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"5","GB106039017621","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"6","GB106039017621","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"7","GB106039017621","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"8","GB106039017621","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"9","GB106039017621","Agriculture and rural land management","Probable","Agriculture - Arable","Poor soil management","Probable"
"10","GB106039017621","Domestic General Public","Probable","Domestic/General public","Private Sewage Treatment","Probable"
"11","GB106039017621","Agriculture and rural land management","Suspected","Agriculture - Livestock","Poor Livestock Management","Suspected"
"12","GB106039017621","Agriculture and rural land management","Probable","Agriculture - Arable","Poor soil management","Probable"
"13","GB106039017621","Agriculture and rural land management","Suspected","Agriculture - Livestock","Poor Livestock Management","Suspected"
"14","GB106039017621","No sector responsible","Not applicable","Not applicable","North american signal crayfish","Confirmed"
"15","GB106039017621","Domestic General Public","Probable","Domestic/General public","Private Sewage Treatment","Probable"
