"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB530603911403","Local and Central Government","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"2","GB530603911403","Local and Central Government","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"3","GB530603911403","Sector under investigation","Not applicable","Not applicable","Unknown (pending investigation)","Not applicable"
"4","GB530603911403","Sector under investigation","Not applicable","Not applicable","Unknown (pending investigation)","Not applicable"
"5","GB530603911403","Sector under investigation","Not applicable","Not applicable","Unknown (pending investigation)","Not applicable"
"6","GB530603911403","Sector under investigation","Not applicable","Not applicable","Unknown (pending investigation)","Not applicable"
"7","GB530603911403","Sector under investigation","Not applicable","Not applicable","Unknown (pending investigation)","Not applicable"
"8","GB530603911403","Urban and transport","Probable","Urban","Contaminated water body bed sediments","Probable"
"9","GB530603911403","Water Industry","Suspected","Water supply","Surface water abstraction","Suspected"
"10","GB530603911403","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"11","GB530603911403","Navigation","Suspected","Inland Waterways","Use of restricted substance","Suspected"
"12","GB530603911403","Industry","Suspected","Other industry, manufacturing and Business","Contaminated land","Suspected"
"13","GB530603911403","Waste treatment and disposal","Suspected","Landfill - Non hazardous landfill","Landfill leaching","Suspected"
"14","GB530603911403","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
