"","text","n"
"1","the river cherwell",1131
"2","flood alert river cherwell",484
"3","the cherwell river",79
"4","flood warning river cherwell",44
"5","the environment agency",39
"6","normal river cherwell",35
"7","a flood warning",34
"8","the oxford canal",27
"9","the river thames",26
"10","the oxford area",25
"11","the tranquil setting",23
"12","the river cherwell oxford",22
"13","a flood alert",20
"14","calliope river boyne river baffle creek kolan river burnett river burrum",20
"15","river cherwell",20
"16","final flood warning",18
"17","river cherwell oxford",18
"18","river noosa river sunshine coast rivers",17
"19","the day river cherwell",16
"20","burnett river burrum",15
"21","mary river noosa river sunshine coast rivers",15
"22","a flood alert notice",12
"23","river cherwell bicester",12
"24","the flood alerts",12
"25","update flood alerts",12
"26","a photo  river cherwell",11
"27","christ church meadow",11
"28","flood warning but river levels",11
"29","river cherwell oxford england",11
"30","latest river warnings",10
"31","magdalen bridge oxford",10
"32","the  agency",10
"33","the burrum river",10
"34","the cherwell boathouse",10
"35","the river ray",10
"36","to cherwell bridge",10
"37","311235 est flood warning",9
"38","a market town",9
"39","a mill house",9
"40","the oxford canal and river cherwell",9
"41","the university parks",9
"42","plane creek calliope river boyne river baffle creek kolan river burnett river burrum",8
"43","river noosa river",8
"44","the civil parish",8
"45","the nerang and coomera rivers",8
"46","415pm 10032016 river cherwell",7
"47","allthingseurope river cherwell oxford england",7
"48","cherwell boathouse oxford",7
"49","magdalen college oxford",7
"50","new flood alert",7
"51","sliding door system",7
"52","the cherwell valley",7
"53","the victoria arms",7
"54","the village pub",7
"55","the zambezi river",7
"56","three size widths",7
"57","400pm  tickets",6
"58","a general flood risk policy requirement",6
"59","disused rail bridge",6
"60","initial minor flood warning",6
"61","initial moderate flood warning",6
"62","oxford city council",6
"63","river cherwell flooding",6
"64","swollen river cherwell",6
"65","the botanical gardens",6
"66","the cherwell river oxford",6
"67","the major tributaries",6
"68","1110am 17012016 river cherwell",5
"69","217pm 14032016 river cherwell",5
"70","746am 08022016 river cherwell",5
"71","930am 13022016 river cherwell",5
"72","a great day",5
"73","clear safety glass",5
"74","flood alert 805pm 09032016 river cherwell",5
"75","rising flood waters",5
"76","the elliott river catchment",5
"77","the other side",5
"78",">beautiful nell",4
"79","1023am 01042016 river cherwell",4
"80","248pm 11032016 river cherwell",4
"81","943am 10032016 river cherwell",4
"82","a deer park",4
"83","a delicious meal",4
"84","a detailed method statement",4
"85","a gorgeous day",4
"86","a large village",4
"87","a new bridge",4
"88","a planting area",4
"89","a socially distant comedy show",4
"90","cherwell boathouse",4
"91","cherwell cats protection",4
"92","cherwell windrush and ock flood alerts",4
"93","city council flood risk policy",4
"94","college riverside development",4
"95","double pocket river cottage oak",4
"96","first friday photowalk",4
"97","flood alert 352pm 02012016 river cherwell",4
"98","flood alert 827pm 29032016 river cherwell",4
"99","lady margaret hall",4
"100","little one thoughts",4
"101","mighty african river",4
"102","oxford kayak tours",4
"103","oxford university parks",4
"104","oxfords river cherwell",4
"105","photo allthingseurope river cherwell oxford england",4
"106","preseed coil rolls",4
"107","river cherwell flooding boaters",4
"108","river thames cherwell windrush",4
"109","spiceball leisure centre",4
"110","the  front",4
"111","the cherwell school",4
"112","the first time",4
"113","the oxford flickr",4
"114","the permit application process",4
"115","the riverside pavilion",4
"116","the suspicious item",4
"117","valley police officers",4
"118","021843 est initial moderate flood warning",3
"119","041731 est initial minor flood warning",3
"120","1223pm 10022016 river cherwell",3
"121","18 oxford canal navigation open towpath",3
"122","292240 est initial flood warning",3
"123","30 minute fire",3
"124","944am 11032016 river cherwell",3
"125","a 46yearold woman",3
"126","a civil rural community",3
"127","a historic market town",3
"128","a leisurely punt",3
"129","a major tributary",3
"130","a picturesque footpath",3
"131","a regular basis",3
"132","a small island",3
"133","a small winding river",3
"134","a special day",3
"135","a unique performance",3
"136","a wonderfully relaxing  paddle",3
"137","an exciting challenge",3
"138","an iconic oxford punt station",3
"139","an idyllic setting",3
"140","any riverside development",3
"141","australian government bureau",3
"142","caution bruce highway",3
"143","christ church meado",3
"144","christ church meadow oxford",3
"145","feeder river weir",3
"146","flood alert 426pm 07022016 river cherwell",3
"147","force 651pm 11032016 river cherwell",3
"148","grandmother ann powles",3
"149","its a particularly english delight",3
"150","localised flooding  catchments",3
"151","lower heyford oxfordshire",3
"152","magdalen bridge areas",3
"153","margaret christie celia sisam",3
"154","mental health problems",3
"155","my second gig",3
"156","news flood warning",3
"157","os grid reference",3
"158","oxford  river cherwell",3
"159","oxford botanic garden",3
"160","oxford river cherwell",3
"161","rainbow bridge rest",3
"162","river cherwell christ church meadow oxford",3
"163","river cherwell departing cherwell boathouse oxford",3
"164","river cherwell family car crash",3
"165","shipton weir lock",3
"166","single pocket river cottage oak",3
"167","st hildas college",3
"168","stunning river cherwell",3
"169","the  directory",3
"170","the beautiful river cherwell",3
"171","the botanic garden",3
"172","the burrum and cherwell rivers",3
"173","the burrum and cherwell rivers catchments",3
"174","the burrum cherwell river",3
"175","the cherwell river william turner",3
"176","the city centre",3
"177","the elliot gregory",3
"178","the famous river cherwell",3
"179","the first two volumes",3
"180","the frozen river cherwell",3
"181","the last glimpses",3
"182","the lower garden",3
"183","the pub garden",3
"184","the river bank",3
"185","the river cherwell charwell",3
"186","the river cherwells",3
"187","the upper river",3
"188","this film clip",3
"189","warnings river thames",3
"190","<u+0001f324><u+0001f6a3><u+0001f3fd><u+0001f333>  river cherwell",2
"191",">  river cherwell",2
"192","010924 est flood warning",2
"193","131940mwfwb qld cherwellbruce highway",2
"194","2 bedrooms",2
"195","21 january ad",2
"196","312042 est flood warning",2
"197","4 great views river cherwell",2
"198","40 new jobs",2
"199","55yearold claudia easom",2
"200","81yearold frank markham",2
"201","a  playlist",2
"202","a  sandle",2
"203","a black swan",2
"204","a boat cruise",2
"205","a cycle ride",2
"206","a lot lot more jean stone",2
"207","a lovely sunday",2
"208","a lovely walk",2
"209","a missing man",2
"210","a mixed practice",2
"211","a punt <u+0001f6f6",2
"212","a quick drawing",2
"213","a quiet saturday afternoon",2
"214","a secluded area",2
"215","a swollen river cherwell",2
"216","a swollen river cherwell t",2
"217","a timelapse narrowboat trip",2
"218","a very high river cherwell",2
"219","a virtual journey",2
"220","all this rain",2
"221","an actual place",2
"222","an epileptic fit and lost control",2
"223","an idyllic location",2
"224","artist valerie petts",2
"225","aynho weir lock",2
"226","black dog drinks",2
"227","busy student night life",2
"228","castle quay waterfront",2
"229","cherwell boathouse iconic punt station",2
"230","cherwell river oxford",2
"231","christ church regatta",2
"232","claydon  canal and river trust",2
"233","deep river blues",2
"234","delicious coffees teas",2
"235","excellent family home",2
"236","farmland and lowlying areas",2
"237","fire and rescue service",2
"238","flood alert 727pm 08032016 river cherwell",2
"239","foto couple kissing",2
"240","foto visitheworld river cherwell",2
"241","great food trip terry",2
"242","half mile b4 river cherwell sign",2
"243","her own life",2
"244","heyford bridge story",2
"245","important flooding info",2
"246","its a beautiful day",2
"247","its picturesque canals",2
"248","its pronounced charwell",2
"249","its the river cherwell",2
"250","jericho coffee traders",2
"251","jmw turners painting",2
"252","just ducks    river cherwell",2
"253","just some gulls",2
"254","latest flood info",2
"255","latest river heights",2
"256","magdalen bridge",2
"257","magdalen bridge pic",2
"258","magdalen college",2
"259","magdalen college oxford england",2
"260","marston ferry road",2
"261","more photos",2
"262","my favourite places",2
"263","my local river",2
"264","new post river cherwell",2
"265","new river crossing",2
"266","new spawning grounds",2
"267","new vlog river cherwell kayaking trip uk  lockdown vlog",2
"268","no traffic diversions",2
"269","old marston oxford",2
"270","one duck river cherwell",2
"271","other  tributaries",2
"272","our flooding page",2
"273","oxford cherwell river",2
"274","oxford city centre",2
"275","oxford uni parks",2
"276","oxford united kingdom",2
"277","oxford woman lorraine easom",2
"278","oxfords beautiful river cherwell",2
"279","parsons pleasure bathing place",2
"280","parsons pleasure oxford",2
"281","punt river cherwell",2
"282","red  oxford",2
"283","river cherwell april",2
"284","river cherwell borders",2
"285","river cherwell christ church meadow",2
"286","river cherwell floods",2
"287","river cherwell oxford canal",2
"288","river cherwell police",2
"289","spiceball footbridge  banbury  river cherwell",2
"290","spiceball footbridge  banbury  river cherwell  castle river bridge",2
"291","spiceball park banbury",2
"292","spires  river cherwell",2
"293","such a beautiful countryside",2
"294","the    list",2
"295","the  cherwell",2
"296","the  restaurant <u+0001f35d",2
"297","the  river",2
"298","the  river jumping tradition",2
"299","the  shipton",2
"300","the  town centre",2
"301","the 150th anniversary",2
"302","the beautiful oxfordshire waterways",2
"303","the best features",2
"304","the botanic gardens",2
"305","the cherwell district",2
"306","the cherwell valley line",2
"307","the cherwell william turner",2
"308","the cherwellburrum burnett kolan rivers",2
"309","the countrys drought",2
"310","the doomsday book",2
"311","the dreaming spires",2
"312","the embankment motorway side",2
"313","the fence m40",2
"314","the flood waters",2
"315","the full force",2
"316","the hot weather",2
"317","the latest information",2
"318","the lye valley",2
"319","the magdalen bridge",2
"320","the magdalen bridge boathouse",2
"321","the marston ferry road",2
"322","the met office",2
"323","the met office environment agency",2
"324","the new pavillion",2
"325","the old marston ferry",2
"326","the picturesque river cherwell",2
"327","the playing fields",2
"328","the river avon",2
"329","the river cam",2
"330","the river cherwell alcohol",2
"331","the river cherwell banbury",2
"332","the river commemorate",2
"333","the river levels",2
"334","the river oak cottage cherwell",2
"335","the river university parks",2
"336","the school grounds",2
"337","the south oxford canal",2
"338","the subsequent fight",2
"339","the tea hut",2
"340","the thames confluence",2
"341","the the cropredy and banbury areas",2
"342","the tranquil river cherwell oxford",2
"343","the upper and lower levels",2
"344","the vicky arms",2
"345","the village pub garden",2
"346","the wolfson college bridge",2
"347","this beautiful photo",2
"348","this beautiful sound",2
"349","this wonderful ancient black poplar",2
"350","thousands upon thousands",2
"351","tour andclimb carfax tower",2
"352","two flood warnings",2
"353","update search and rescue cherwell river bundaberg area",2
"354","water eaton road",2
"355","william turner",2
"356","wolfson college oxford",2
"357","your future visit",2
"358","your great escape",2
"359","your sloppy journalism",2
"360","£15m  alleviation scheme",1
"361","<u+0001f4cd>river cherwell",1
"362","<u+0001f4f7> visitheworld river cherwell",1
"363","<u+0001f6a3><u+0001f3fc><u+2764><u+fe0f>  river cherwell",1
"364","<u+0628><u+0639><u+062f><u+0633><u+062a><u+064a>  oxford  river cherwell",1
"365",">    book",1
"366",">  2 bathrooms",1
"367",">  most beautiful architecture",1
"368","010409 est final flood warning",1
"369","013  2 1male 1 fem goosander  river cherwell bardwell road",1
"370","022036 est moderate flood warning",1
"371","022332 est minor flood warning",1
"372","030836 est final flood warning",1
"373","050846 est final flood warning",1
"374","052316 est initial flood warning",1
"375","06 june",1
"376","060719 est final flood warning",1
"377","07 november ad",1
"378","0834 1 december",1
"379","1 crocodile stationary h12",1
"380","1 university park 2 bank",1
"381","10 oxford colleges",1
"382","1002am 24012018 river cherwell",1
"383","107 year old kilsby",1
"384","1132am 02042018 river cherwell",1
"385","117pm 31032018 river cherwell",1
"386","12th march 2016 river cherwell",1
"387","141013 2348 reports",1
"388","144 900  imm prob 2cy marsh harrier  woodeaton sp526126 flyover",1
"389","1458 magdalen college",1
"390","14th november 2014 jubilee bridge",1
"391","15lb 9oz barbel",1
"392","162003 est initial moderate flood warning",1
"393","1644 sir william waller",1
"394","16th mar 18 oxford canal navigation open towpath",1
"395","17 river cherwell",1
"396","171342 est minor flood warning",1
"397","171715 est minor flood warning",1
"398","171922 est moderate flood warning",1
"399","1754 thomas francis wenman",1
"400","18 dec 2020 duration",1
"401","18 flood alerts",1
"402","180713 est final flood warning",1
"403","181322 est minor flood warning",1
"404","181700 est flood warning",1
"405","1836 good news",1
"406","190824 est final flood warning",1
"407","1967 river cherwell",1
"408","2 punt",1
"409","2 the lodge oxfordshire",1
"410","2 upstream development",1
"411","20 concrete piers",1
"412","20 march 2013 water levels",1
"413","2016 11 gassmann",1
"414","23 times original width",1
"415","2312  male goosander  university parks",1
"416","25  river cherwell",1
"417","261220 severe fines",1
"418","262 930  2 pair goosander",1
"419","27th june river",1
"420","280513 1253 lorry fire",1
"421","2812 1318  mail goosander  university parks river cherwell",1
"422","291 1430  2 1m1f pintail  water eaton water eatonsparsey cherwell",1
"423","2x slow worms",1
"424","3 bedrooms",1
"425","3 daysthis trip",1
"426","3 old drovers roads",1
"427","3 wander handinhand",1
"428","300850 est flood warning",1
"429","300pm  tickets",1
"430","301652 est moderate flood warning",1
"431","302153 est moderate flood warning",1
"432","302223 est minor flood warning",1
"433","310903 est minor flood warning",1
"434","311600 est minor flood warning",1
"435","32 wordsweek spend work time",1
"436","35+ acres",1
"437","3bp hook nortonreal alefood",1
"438","4 male goosander  university parks",1
