"","X","text","n"
"1",1,"flood alert river pang",272
"2",2,"the river pang",264
"3",3,"a river original mix",38
"4",4,"the great flowing river",22
"5",5,"normal river pang",14
"6",6,"the river pang series",13
"7",7,"a  video",10
"8",8,"sulham brook flood alert",8
"9",9,"the chicago river",8
"10",10,"the li river",8
"11",11,"the pang river",8
"12",12,"the river thames",7
"13",13,"a photo float  marina bay",6
"14",14,"golden undergraund river tham",6
"15",15,"my online store",6
"16",16,"two burma army fighter jets",6
"17",17,"a great time",5
"18",18,"a little pang",5
"19",19,"a small chalk stream river",5
"20",20,"all the way",5
"21",21,"dead pasig river",5
"22",22,"paththe river pang series  rivers",5
"23",23,"the pang valley",5
"24",24,"the pasig river",5
"25",25,"the river kennet",5
