"","X","text","n"
"1",1,"the oxford canal",4590
"2",2,"the  canal",167
"3",3,"the north oxford canal",150
"4",4,"the south oxford canal",144
"5",5,"a canal boat",128
"6",6,"a  video",121
"7",7,"oxford canal",103
"8",8,"less than ten minutes",93
"9",9,"the grand union canal",89
"10",10,"a  playlist",65
"11",11,"south oxford canal",63
"12",12,"my former paper boy",54
"13",13,"a gripping crime mystery",49
"14",14,"the coventry canal",48
"15",15,"north oxford canal",45
"16",16,"massachusetts love canal",41
"17",17,"oxford village neighborhood",41
"18",18,"a virtual journey",40
"19",19,"the oxford canal towpath",40
"20",20,"millennium way napton",39
"21",21,"the grand union",37
"22",22,"a narrow boat",36
"23",23,"grand union canal",36
"24",24,"the river thames",33
"25",25,"grand union canals",31
