"source","target","value"
"Agriculture and rural land management","Poor Livestock Management",2
"Agriculture and rural land management","Poor nutrient management",3
"Agriculture and rural land management","Poor soil management",1
"Domestic General Public","Misconnections",2
"Local and Central Government","Flood protection - structures",1
"No sector responsible","Drought",1
"Other","Private Sewage Treatment",2
"Urban and transport","Private Sewage Treatment",2
"Urban and transport","Transport Drainage",2
"Urban and transport","Urbanisation - urban development",3
