"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039029940","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"2","GB106039029940","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"3","GB106039029940","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"4","GB106039029940","Other","Probable","Not applicable","Barriers - ecological discontinuity","Probable"
"5","GB106039029940","Urban and transport","Probable","Other (not in list)","Reservoir / Impoundment - non flow related","Probable"
"6","GB106039029940","Urban and transport","Probable","Not applicable","Land drainage - operational management","Probable"
"7","GB106039029940","Other","Probable","Not applicable","Urbanisation - urban development","Probable"
"8","GB106039029940","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"9","GB106039029940","No sector responsible","Not applicable","Not applicable","North american signal crayfish","Suspected"
"10","GB106039029940","Water Industry","Probable","Waste water treatment","Incidents","Probable"
"11","GB106039029940","Water Industry","Suspected","Not applicable","Sewage discharge (continuous)","Suspected"
