"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039023130","Other","Probable","Not applicable","Barriers - ecological discontinuity","Probable"
"2","GB106039023130","Urban and transport","Probable","Not applicable","Urbanisation - urban development","Probable"
"3","GB106039023130","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"4","GB106039023130","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"5","GB106039023130","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"6","GB106039023130","Urban and transport","Probable","Not applicable","Urbanisation - urban development","Probable"
"7","GB106039023130","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"8","GB106039023130","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"9","GB106039023130","Water Industry","Probable","Not applicable","Sewage discharge (continuous)","Probable"
"10","GB106039023130","Urban and transport","Probable","Not applicable","Urbanisation - urban development","Probable"
"11","GB106039023130","No sector responsible","Not applicable","Not applicable","Drought","Probable"
