"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039017320","Local and Central Government","Probable","Environment, Farming, Rural","Impoundment - u/s elevated water level","Probable"
"2","GB106039017320","Other","Probable","Not applicable","Barriers - ecological discontinuity","Probable"
"3","GB106039017320","Other","Suspected","Not applicable","Barriers - ecological discontinuity","Confirmed"
"4","GB106039017320","Other","Suspected","Not applicable","Private Sewage Treatment","Suspected"
"5","GB106039017320","Sector under investigation","Not applicable","Not applicable","Unknown (pending investigation)","Not applicable"
"6","GB106039017320","Other","Suspected","Not applicable","Private Sewage Treatment","Suspected"
"7","GB106039017320","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"8","GB106039017320","Agriculture and rural land management","Suspected","Agriculture - Arable","Poor nutrient management","Suspected"
"9","GB106039017320","Water Industry","Confirmed","Other (not in list)","Sewage discharge (continuous)","Confirmed"
"10","GB106039017320","Water Industry","Confirmed","Other (not in list)","Sewage discharge (continuous)","Confirmed"
