"","X","text","n"
"1",1,"the river loddon",9
"2",2,"the river lyde",3
"3",3,"a scientific river study",2
"4",4,"mp and cabinet minister maria miller",2
"5",5,"old basing west",2
"6",6,"pub old basing",2
"7",7,"the lyde river",2
"8",8,"the mike miller trio",2
"9",9,"the river bank tea room",2
"10",10,"a basingstoke river",1
"11",11,"a beautiful place",1
"12",12,"a beautiful river",1
"13",13,"a biodiversity report",1
"14",14,"a cracking pub",1
"15",15,"a few butterflies",1
"16",16,"a kids shoulder",1
"17",17,"a little researching",1
"18",18,"a much more interesting show",1
"19",19,"a potential new park",1
"20",20,"a very old male swan",1
"21",21,"a water mill",1
"22",22,"a yet invented internet and tv coverage",1
"23",23,"about 30km",1
"24",24,"annual duck race basingstoke loddon rotary club",1
"25",25,"annual race families",1
