"source","target","value"
"Agriculture and rural land management","Poor soil management",1
"Agriculture and rural land management","Riparian/in-river activities (inc bankside erosion)",2
"Agriculture and rural land management","Track/rural road",1
"Other","Barriers - ecological discontinuity",1
"Other","Reservoir / Impoundment - non flow related",1
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Transport Drainage",1
"Urban and transport","Urbanisation - transport",2
"Urban and transport","Urbanisation - urban development",3
"Water Industry","Groundwater abstraction",2
