"","X","text","n"
"1",1,"the river swale",1590
"2",2,"flood warning river swale",742
"3",3,"flood alert lower river swale",697
"4",4,"flood alert upper river swale",228
"5",5,"the river level",152
"6",6,"u+25bc> swale hoggarths",139
"7",7,"lower river swale",112
"8",8,"bromptononswale caravan park",111
"9",9,"u+25b2> swale hoggarths",100
"10",10,"u+25bc> swale grinton",95
"11",11,"u+25b2> swale grinton",82
"12",12,"<u+25bc> swale richmond to catterick bridge",63
"13",13,"normal lower river swale",62
"14",14,"u+25b2> swale richmond to catterick bridge",56
"15",15,"u+25bc> whitsundale beck ravenseat",56
"16",16,"normal river swale",51
"17",17,"the river aire",51
"18",18,"river swale richmond",48
"19",19,"the yorkshire dales",46
"20",20,"upper river swale",46
"21",21,"u+25b2> whitsundale beck ravenseat",42
"22",22,"normal upper river swale",39
"23",23,"north yorkshire long exposu",39
"24",24,"a river bridge",37
"25",25,"richmond north yorkshire",35
