"source","target","value"
"Agriculture and rural land management","Land use - arable",1
"Agriculture and rural land management","Poor nutrient management",2
"Agriculture and rural land management","Poor soil management",1
"Agriculture and rural land management","Riparian/in-river activities (inc bankside erosion)",2
"Other","Barriers - ecological discontinuity",1
"Other","Private Sewage Treatment",1
"Other","Reservoir / Impoundment - non flow related",2
"Urban and transport","Private Sewage Treatment",1
"Water Industry","Groundwater abstraction",1
"Water Industry","Sewage discharge (continuous)",2
