"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039017810","Agriculture and rural land management","Probable","Agriculture - Livestock","Poor Livestock Management","Probable"
"2","GB106039017810","Agriculture and rural land management","Probable","Agriculture - Livestock","Poor Livestock Management","Probable"
"3","GB106039017810","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"4","GB106039017810","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"5","GB106039017810","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"6","GB106039017810","Agriculture and rural land management","Probable","Not applicable","Land drainage - operational management","Probable"
"7","GB106039017810","Urban and transport","Probable","Urban","Sewage discharge (intermittent)","Probable"
"8","GB106039017810","Agriculture and rural land management","Suspected","Not applicable","Land drainage - operational management","Suspected"
"9","GB106039017810","Agriculture and rural land management","Probable","Not applicable","Reservoir / Impoundment - non flow related","Probable"
"10","GB106039017810","No sector responsible","Not applicable","Not applicable","Low Flow (not drought)","Suspected"
"11","GB106039017810","Water Industry","Suspected","Waste water treatment","Sewage discharge (continuous)","Suspected"
"12","GB106039017810","Agriculture and rural land management","Suspected","Agriculture - Arable","Poor nutrient management","Suspected"
"13","GB106039017810","Urban and transport","Probable","Urban","Sewage discharge (intermittent)","Probable"
"14","GB106039017810","Agriculture and rural land management","Probable","Agriculture - Livestock","Poor Livestock Management","Probable"
"15","GB106039017810","Urban and transport","Probable","Urban","Sewage discharge (intermittent)","Probable"
