"","X","text","n"
"1",1,"the hamble brook",40
"2",2,"2 dry years",1
"3",3,"2014 water lane",1
"4",4,"a classic species",1
"5",5,"a cycle ride",1
"6",6,"a deficiency flow",1
"7",7,"a dry spring",1
"8",8,"a full house",1
"9",9,"a healthy flow",1
"10",10,"a lovely clear winterbourne chalk stream",1
"11",11,"a photographic survey",1
"12",12,"a quick google search",1
"13",13,"a sightseeing trip",1
"14",14,"a small track",1
"15",15,"all the rain",1
"16",16,"an adjacent heron",1
"17",17,"an endangered chalk stream",1
"18",18,"an oversized duck",1
"19",19,"another dry summer",1
"20",20,"as good a state",1
"21",21,"at least the hamble brook",1
"22",22,"dry hamble brook",1
"23",23,"each 3 months",1
"24",24,"gorgeous big skies",1
"25",25,"groundwater rising winterbournes",1
