"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039030160","Agriculture and rural land management","Probable","Not applicable","Other (not in list, must add details in comments)","Probable"
"2","GB106039030160","Agriculture and rural land management","Probable","Not applicable","Poor nutrient management","Probable"
"3","GB106039030160","Agriculture and rural land management","Suspected","Agriculture - Arable","Poor nutrient management","Suspected"
"4","GB106039030160","Agriculture and rural land management","Suspected","Not applicable","Farm/site infrastructure","Suspected"
"5","GB106039030160","Agriculture and rural land management","Suspected","Not applicable","Poor nutrient management","Suspected"
"6","GB106039030160","Sector under investigation","Not applicable","Not applicable","Unknown (pending investigation)","Not applicable"
"7","GB106039030160","Agriculture and rural land management","Suspected","Not applicable","Farm/site infrastructure","Suspected"
"8","GB106039030160","No sector responsible","Not applicable","Not applicable","Drought","Suspected"
"9","GB106039030160","Urban and transport","Suspected","Urban","Urbanisation - urban development","Suspected"
"10","GB106039030160","No sector responsible","Not applicable","Not applicable","Drought","Suspected"
"11","GB106039030160","Agriculture and rural land management","Suspected","Agriculture - Livestock","Poor nutrient management","Suspected"
"12","GB106039030160","Agriculture and rural land management","Suspected","Not applicable","Farm/site infrastructure","Suspected"
