"","X","text","n"
"1",1,"the river stort",135
"2",2,"historic columbia river",34
"3",3,"se harlow ave troutdale",33
"4",4,"harlow lake cabin",30
"5",5,"the au train river trip",30
"6",6,"harlow  sales advisor sales",16
"7",7,"harlow capri river",16
"8",8,"gilston park estate",12
"9",9,"harlow town park  river stort",9
"10",10,"east river park",8
"11",11,"harlow sunday walkers  river stort",8
"12",12,"the post lee womens",8
"13",13,"10am530pm  river island",7
"14",14,"high wych village hall",7
"15",15,"james river state park",7
"16",16,"rising water levels",7
"17",17,"service 8135 hours",7
"18",18,"the latin legends",7
"19",19,"the river stort towpath",7
"20",20,"two proposed river crossings",7
"21",21,"another great ad",6
"22",22,"at se harlow ave  e historic columbia river",6
"23",23,"harlow town station",6
"24",24,"jack harlow river road",6
"25",25,"225 hours monfri",5
