"source","target","value"
"Domestic General Public","Private Sewage Treatment",1
"Local and Central Government","Other (not in list, must add details in comments)",1
"No sector responsible","Drought",2
"No sector responsible","North american signal crayfish",1
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Barriers - ecological discontinuity",1
"Urban and transport","Other (not in list, must add details in comments)",1
"Urban and transport","Urbanisation - transport",1
"Water Industry","Groundwater abstraction",1
"Water Industry","Sewage discharge (continuous)",3
