"","X","text","n"
"1",1,"coombe brook nature reserve",6
"2",2,"coombe brook valley nature reserve",5
"3",3,"coombe brook valley",4
"4",4,"2 bed flat zoopla coombe brook close kingswood bristol",3
"5",5,"7 bed detached house rightmove brook gardens",3
"6",6,"brook nature reserve",3
"7",7,"coombe brook",3
"8",8,"7 bed detached house zoopla brook gardens",2
"9",9,"a spectacular georgian house",2
"10",10,"a virtual tour",2
"11",11,"a youtube video  coombe brook valley action group",2
"12",12,"coombe brook close kingswood bristol",2
"13",13,"coombe brook nature",2
"14",14,"hazel brook coombe dingle",2
"15",15,"royate hill nature reserve",2
"16",16,"royate hill viaduct nature reserve",2
"17",17,"the current owners",2
"18",18,"the first time",2
"19",19,"11  schools",1
"20",20,"11 coombe brook close kingswood",1
"21",21,"2 bed apartment rightmove coombe brook close bristol",1
"22",22,"2 bed flat rightmove coombe brook close kingswood bristol",1
"23",23,"2 bed flat zoopla coombe brook close kingswood",1
"24",24,"2 registered offices",1
"25",25,"2 x sssis",1
