"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039023770","Water Industry","Confirmed","Other (not in list)","Sewage discharge (continuous)","Confirmed"
"2","GB106039023770","Agriculture and rural land management","Suspected","Agriculture - Livestock","Poor Livestock Management","Probable"
"3","GB106039023770","Other","Probable","Not applicable","Land drainage - operational management","Probable"
"4","GB106039023770","Agriculture and rural land management","Suspected","Agriculture - Arable","Poor nutrient management","Suspected"
"5","GB106039023770","No sector responsible","Not applicable","Not applicable","Natural conditions - other","Probable"
"6","GB106039023770","Agriculture and rural land management","Suspected","Agriculture - Arable","Land use - arable","Suspected"
"7","GB106039023770","Agriculture and rural land management","Suspected","Not applicable","Land use - improved grassland","Suspected"
"8","GB106039023770","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"9","GB106039023770","No sector responsible","Not applicable","Not applicable","Not applicable","Not applicable"
"10","GB106039023770","Agriculture and rural land management","Suspected","Agriculture - Livestock","Poor Livestock Management","Suspected"
"11","GB106039023770","No sector responsible","Not applicable","Not applicable","Natural conditions - other","Probable"
