"source","target","value"
"Agriculture and rural land management","Surface water abstraction",1
"Domestic General Public","Misconnections",2
"Local and Central Government","Barriers - ecological discontinuity",1
"Local and Central Government","Land drainage - structures",1
"Local and Central Government","Other (not in list, must add details in comments)",1
"Recreation","Surface water abstraction",1
"Sector under investigation","Unknown (pending investigation)",2
"Urban and transport","Barriers - ecological discontinuity",1
"Urban and transport","Other (not in list, must add details in comments)",1
"Urban and transport","Transport Drainage",1
"Urban and transport","Urbanisation - transport",2
"Urban and transport","Urbanisation - urban development",3
"Water Industry","Leaking utility sewers",1
"Water Industry","Sewage discharge (intermittent)",1
