"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106038033310","Water Industry","Confirmed","Not applicable","Groundwater abstraction","Confirmed"
"2","GB106038033310","Urban and transport","Confirmed","Urban","Urbanisation - urban development","Confirmed"
"3","GB106038033310","Water Industry","Probable","Water supply","Groundwater abstraction","Probable"
"4","GB106038033310","Agriculture and rural land management","Probable","Agriculture - Arable","Poor soil management","Probable"
"5","GB106038033310","Agriculture and rural land management","Probable","Agriculture - Livestock","Riparian/in-river activities (inc bankside erosion)","Probable"
"6","GB106038033310","Local and Central Government","Confirmed","Environment, Farming, Rural","Flood protection - structures","Confirmed"
"7","GB106038033310","Local and Central Government","Confirmed","Environment, Farming, Rural","Flood protection - structures","Confirmed"
"8","GB106038033310","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"9","GB106038033310","Urban and transport","Confirmed","Urban","Urbanisation - urban development","Confirmed"
"10","GB106038033310","Agriculture and rural land management","Confirmed","Agriculture - Livestock","Riparian/in-river activities (inc bankside erosion)","Confirmed"
"11","GB106038033310","Agriculture and rural land management","Probable","Agriculture - Arable","Poor soil management","Probable"
"12","GB106038033310","Water Industry","Confirmed","Not applicable","Groundwater abstraction","Confirmed"
"13","GB106038033310","Agriculture and rural land management","Confirmed","Agriculture - Arable","Reservoir / Impoundment - non flow related","Confirmed"
"14","GB106038033310","Agriculture and rural land management","Confirmed","Not applicable","Barriers - ecological discontinuity","Confirmed"
"15","GB106038033310","Water Industry","Confirmed","Not applicable","Groundwater abstraction","Confirmed"
"16","GB106038033310","Water Industry","Suspected","Not applicable","Groundwater abstraction","Suspected"
