"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB30644031","Urban and transport","Probable","Other (not in list)","Transport Drainage","Probable"
"2","GB30644031","Urban and transport","Probable","Roads","Transport Drainage","Probable"
"3","GB30644031","Urban and transport","Suspected","Not applicable","Sewage discharge (continuous)","Suspected"
"4","GB30644031","Urban and transport","Probable","Other (not in list)","Transport Drainage","Probable"
"5","GB30644031","Domestic General Public","Probable","Not applicable","Sewage discharge (continuous)","Probable"
"6","GB30644031","Water Industry","Suspected","Other (not in list)","Sewage discharge (intermittent)","Suspected"
"7","GB30644031","Water Industry","Suspected","Other (not in list)","Sewage discharge (intermittent)","Suspected"
"8","GB30644031","Urban and transport","Suspected","Other (not in list)","Sewage discharge (continuous)","Suspected"
"9","GB30644031","Water Industry","Suspected","Other (not in list)","Sewage discharge (intermittent)","Suspected"
"10","GB30644031","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
