"","X","text","n"
"1",1,"the river thames confluence",271
"2",2,"flood alert lower river loddon",245
"3",3,"the river loddon",20
"4",4,"the river itchen",17
"5",5,"normal lower river loddon",16
"6",6,"flood warning river loddon",12
"7",7,"flood warning river trent",12
"8",8,"lower river loddon",10
"9",9,"the river stort",8
"10",10,"the river thames",8
"11",11,"the river trent",6
"12",12,"a modest place",4
"13",13,"some 7000 souls",4
"14",14,"a bright dual aspect lounge fitted kitchen master bedroom",3
"15",15,"normal river trent",3
"16",16,"notice update 31st aug",3
"17",17,"river stort navigation",3
"18",18,"10am twyford lock pig lane",2
"19",19,"25 flood alerts",2
"20",20,"6th cotton patch",2
"21",21,"a 2 bedroom first floor retirement apartment",2
"22",22,"a shower room",2
"23",23,"clear floating pennywort",2
"24",24,"environment agency issues",2
"25",25,"jul 18 river stort navigation",2
