"","X","text","n"
"1",1,"the river kennet",1488
"2",2,"flood alert river kennet",523
"3",3,"aerial view cityscape hungerford bridge thames river london charing cross station",268
"4",4,"the thames river",230
"5",5,"the london eye millennium wheel and hungerford bridge",214
"6",6,"flood alert river lambourn",202
"7",7,"the kennet and avon canal",173
"8",8,"the river thames",121
"9",9,"the denman chase",88
"10",10,"the river avon",86
"11",11,"guided barbel fishing  river kennet handshire avon  dorset stourmiddle severn",81
"12",12,"barbel fishing guide river kennet handshire avondorset",72
"13",13,"the parker river",66
"14",14,"the kennet river",63
"15",15,"the river lambourn",52
"16",16,"bristol de mai",45
"17",17,"the charles river",44
"18",18,"the hungerford bridge",42
"19",19,"the gold cup",40
"20",20,"great ocean road",29
"21",21,"native river sails",29
"22",22,"newbury bristol de mai",29
"23",23,"serious pollution incident",29
"24",24,"native river",27
"25",25,"golden jubilee bridges",26
