"","X","text","n"
"1",1,"the river windrush",73
"2",2,"the ifootpath app",33
"3",3,"the river windrush oxfordshire",25
"4",4,"walking guide",23
"5",5,"the river thames",21
"6",6,"flood warning river teme",15
"7",7,"the river windrush cotswolds",14
"8",8,"gpx powered map directions",12
"9",9,"the ifootpath website",11
"10",10,"henry real estate services",10
"11",11,"the river mole",10
"12",12,"a burford stream",8
"13",13,"a medieval town",8
"14",14,"river city bank wealth management firm",7
"15",15,"the burford bridge hotel",6
"16",16,"the cotswold hills",6
"17",17,"the river teme",5
"18",18,"2 severe flood warnings",4
"19",19,"normal river teme",4
"20",20,"severe flood warning river teme",4
"21",21,"the allegheny river",4
"22",22,"the crooked river arts council",4
"23",23,"the high street",4
"24",24,"the river kwai",4
"25",25,"the river windrush walking guide",4
