"","text","n"
"1","flood alert river evenlode",454
"2","the river evenlode",145
"3","normal river evenlode",23
"4","the evenlode river",12
"5","glyme flood alert warnings",11
"6","the full length",11
"7","river evenlode and river glyme",10
"8","update flood alert",10
"9","a flood alert",8
"10","flood alert 845pm 30122015 river evenlode",7
"11","06012016 river evenlode",6
"12","10022016 river evenlode",6
"13","1218pm 06022016 river evenlode",6
"14","1234pm 13012016 river evenlode",6
"15","527pm 30032016 river evenlode",6
"16","707pm 11032016 river evenlode",6
"17","732am 28032016 river evenlode",6
"18","a  sandle",6
"19","flood alert 1241pm 07012016 river evenlode",6
"20","flood warning river evenlode",6
"21","north leigh roman villa",6
"22","the river thames",6
"23","an elderly woman",5
"24","the river glyme",5
"25","a cotswold river",4
"26","the west bank",4
"27","a local activist",3
"28","also the river glyme",3
"29","an abandoned car",3
"30","flood improvement scheme",3
"31","the evenlode bridge area",3
"32","the evenlode valley",3
"33","the river evenlode combe",3
"34","16 mosaic floors",2
"35","a forest educator",2
"36","a model farmer",2
"37","a river evenlode",2
"38","a small river",2
"39","a social evening",2
"40","action dog photographer",2
"41","at least one month",2
"42","more than 40 acts",2
"43","river evenlode",2
"44","river evenlode oxfordshire",2
"45","the cotswolds river",2
"46","the environment agency",2
"47","the evenlode catchment partnership",2
"48","the evenlode river catchment",2
"49","the flooded river evenlode",2
"50","the north bank",2
"51","the smooth flow",2
"52","the upper river",2
"53","the upper thames",2
"54","the winding river",2
"55","witney flood alert",2
"56","0858 5 december",1
"57","0931 6 december",1
"58","0956 14 march",1
"59","1028  river and flooding forecast",1
"60","1052  river and flooding forecast",1
"61","1101pm 30032018 river evenlode",1
"62","1149am 01022017 river evenlode",1
"63","12 jan 2020 duration",1
"64","1328  river and flooding forecast",1
"65","1331  river and flooding forecast",1
"66","16 lavish mosaics 11 hypocausts",1
"67","180 its grid",1
"68","215pm 12032018 river evenlode",1
"69","355pm 16012017 river evenlode",1
"70","4 bath suites",1
"71","402pm emergency warning",1
"72","50th anniversary story",1
"73","514pm 21112016 river evenlode",1
"74","715am 01062018 river evenlode",1
"75","8 mile walk",1
"76","a  alert",1
"77","a £600000 flood",1
"78","a 3d river survey",1
"79","a bicycle wheel",1
"80","a civil parish",1
"81","a deep and rich green background",1
"82","a dog walk",1
"83","a dry fly",1
"84","a few more photos",1
"85","a flooded river evenlode",1
"86","a formal meeting",1
"87","a friendly t20",1
"88","a good day",1
"89","a good harvest",1
"90","a good walk",1
"91","a good walk chadlington and river evenlode oxfordshire",1
"92","a grade ii listed building",1
"93","a great line",1
"94","a great time",1
"95","a great view",1
"96","a guided walk",1
"97","a historic sawmill",1
"98","a kingfisher fishing",1
"99","a large roman villa",1
"100","a little <u+0001f914",1
"101","a little egret",1
"102","a little sunshine",1
"103","a local village",1
"104","a lovely solstice",1
"105","a luxurious bath suite",1
"106","a milestone point",1
"107","a model farmera forest educator",1
"108","a new bridge",1
"109","a new exhibition",1
"110","a new light",1
"111","a no till",1
"112","a partnership project",1
"113","a photo  river evenlode",1
"114","a physical feature evenlode",1
"115","a pretty cotswolds valley",1
"116","a printed cotton design",1
"117","a rich savoury beefy flavour",1
"118","a right old internet hole",1
"119","a river bank",1
"120","a river valley",1
"121","a roman villa",1
"122","a slightly complex procedure",1
"123","a sloping site",1
"124","a species name",1
"125","a speedy 24 hours",1
"126","a stones throw",1
"127","a successful field trip",1
"128","a surprise find",1
"129","a toothwort unfurling",1
"130","a tree pipit sing",1
"131","a two church thread",1
"132","a very hot bike tide",1
"133","a wandering mist",1
"134","a12 yr old female",1
"135","alert flood alert",1
"136","all the fab projects",1
"137","an earthly paradise",1
"138","an excellent gargoyle",1
"139","an hms evenlode canadian navy",1
"140","an indignant pipit",1
"141","an interesting video",1
"142","an old mill house",1
"143","an open sky",1
"144","an overflowing river evenlode boo",1
"145","anamolous bristle moss orthotricum anomalum",1
"146","another channel survey",1
"147","any angle yellow star",1
"148","aprox 4 mile stretch",1
"149","ashford mill lovely river",1
"150","at least 6 little egrets",1
"151","beautiful roman villa",1
"152","beautiful summer weather",1
"153","best new cheese",1
"154","better water quality less soil erosion",1
"155","both a little egret",1
"156","bridge and river evenlode",1
"157","canine companions amber",1
"158","catsham bridge river evenlode",1
"159","chadlington included coffee",1
"160","changjiang river scientific research institute crsri china",1
"161","charlbury drongo commuters",1
"162","clear cumbrian becks",1
"163","clear river fuels",1
"164","combe mill  history",1
"165","combe mill volunteers",1
"166","cornbury park estate",1
"167","correct river evenlode image credit",1
"168","cotswold mp sir geoffrey cliftonbrown",1
"169","cotswold rivers trust",1
"170","crop farming field lab",1
"171","dphil students",1
"172","ea thames river basin liaison panel",1
"173","east end combe",1
"174","environmental sensitive area",1
"175","er rural neglect",1
"176","esp river evenlode",1
"177","evening swim river evenlode",1
"178","evenlode catchment oxfordshire",1
"179","evenlode catchment partnership",1
"180","evenlode junction oxford canal",1
"181","evenlode river bank cleanup",1
"182","excellent walking trails",1
"183","experienced citizen science",1
"184","favourite fishing river",1
"185","flood alert 408pm 26122017 river evenlode",1
"186","flood alert 551pm 21012018 river evenlode",1
"187","flood management trees",1
"188","flood water and moon river evenlode",1
"189","floodwater river evenlode",1
"190","ford cowalla moore river national park nilgen mimegarra wedge island karakin orange springs",1
"191","four bath suites",1
"192","four riverinspired textile designs",1
"193","glyme windrush evenlode",1
"194","gray haired grimmia grimmia pulvinata",1
"195","great little  video",1
"196","great white egret  cassington purwell farm su439126",1
"197","gwr train crosses",1
"198","happy birthday brandon",1
"199","hence the four shires stone",1
"200","hi   this car",1
"201","his local river",1
"202","his most famous designs",1
"203","his newest pattern colchicum autumn crocus",1
"204","his original cheese range",1
"205","how many hours",1
"206","its averaged 10tha",1
"207","its first major river restoration",1
"208","its no surprise",1
"209","its not every tributary",1
"210","its own right",1
"211","its peak period",1
"212","its soil and water benefits",1
"213","its the river evenlode",1
"214","john johns mission",1
"215","john pratts blog",1
"216","just a small thames tributary",1
"217","kingham bledington milton shipton ascott charlbury fawler",1
"218","last year proof",1
"219","lastly the river evenlode",1
"220","latest investment view",1
"221","local   windy cycle",1
"222","loveliest river names",1
"223","low lying roadsfords",1
"224","many local walks",1
"225","marsh  cassington",1
"226","midnight river choir",1
"227","more  life volunteers",1
"228","more detail",1
"229","more than 150 consented sewage spills",1
"230","my bank holiday",1
"231","my comanager hughs",1
"232","my favourite spring flowers",1
"233","my first ever kingfisher",1
"234","my first swallows",1
"235","my fishing diary",1
"236","my local river evenlode",1
"237","my os explorer",1
"238","my teenage hometown",1
"239","natural flood management",1
"240","natural flood management pilot catchment",1
"241","near enough visits",1
"242","new date news",1
"243","new drone video",1
"244","new favourite river",1
"245","new river habitats",1
"246","news flood improvement scheme",1
"247","news riverside festival",1
"248","nice sunday afternoon walk",1
"249","no fly life",1
"250","no green colouring",1
"251","no mistake thankscurses",1
"252","no satisfactory etymology evenlode backformation",1
"253","no tree pipit",1
"254","not the temenot the thamesbut hurraha river",1
"255","now evenlode river",1
"256","now here the gipping",1
"257","ocean farms estate seaview park",1
"258","one social distance",1
"259","orig rivername brit bladene",1
"260","osr and companion crops",1
"261","our citizen scientists",1
"262","our favourite steppers linda",1
"263","our little river evenlode",1
"264","our local plastic free community leader",1
"265","our local river",1
"266","our local sewage treatment",1
"267","our match ball sponsor",1
"268","our oxfordshire office",1
"269","our property rural location car driver",1
"270","our smaller inhabitants grasshopper or cricket bonus points",1
"271","our woolly jumpers",1
"272","over 40 species",1
"273","over a month",1
"274","oxford phd students",1
"275","past cornbury park",1
"276","post christmas walk",1
"277","potentially human health",1
"278","quite the view",1
"279","red and yellow warnings",1
"280","river evenlode bods",1
"281","river evenlode frosty",1
"282","river evenlode reedit",1
"283","river evenlode sp455095",1
"284","river evenlode treats",1
"285","river evenlode west oxfordshire",1
"286","river restoration nfm",1
"287","river restoration workshop",1
"288","river short promo",1
"289","river thame chalgrove brook evenlode",1
"290","rod picott  amanda shires",1
"291","self guided tours",1
"292","serious  pollution offence river evenlode catchment",1
"293","shoulder high grass",1
"294","sir james bevan chief executive",1
"295","six gently flowing patterns",1
"296","so high tide",1
"297","so much everyone",1
"298","some odd fund management metaphor",1
"299","south presenter call local river",1
"300","stream wildlife cam cmon wildlife",1
"301","such a beautiful and biodiverse area",1
"302","such lovelysounding river names",1
"303","sundays steaming day",1
"304","surrounding river evenlode",1
"305","thames valley pet photographer",1
"306","the  moss",1
"307","the  research",1
"308","the  roman villa",1
"309","the  strategy meeting",1
"310","the  team",1
"311","the 2018 season",1
"312","the 4th c",1
"313","the 4th century",1
"314","the algaldriven turbidity",1
"315","the artisan cheese awards evenlode",1
"316","the beautiful river evenlode",1
"317","the beautiful yellow starofbethlehem",1
"318","the beautifully varied sounds",1
"319","the bloated river evenlode",1
"320","the bull inn",1
"321","the chalgrove brook",1
"322","the cotswold hills",1
"323","the crazed vegetation",1
"324","the current situation",1
"325","the design evenlode",1
"326","the early 1970s",1
"327","the early 20th century  details",1
"328","the early 4th century",1
"329","the eastern edge",1
"330","the environment littlestock natural flood management",1
"331","the evenlode catchment",1
"332","the evenlode catchment partnership ecp",1
"333","the evenlode natural flood management",1
"334","the evenlode partnership evenlode",1
"335","the evenlode river bridge",1
"336","the evenlode river catchment  partnership",1
"337","the evenlode river flow",1
"338","the evenlode river police",1
"339","the evenlode valley poppies",1
"340","the evenlode valleyhave fun",1
"341","the filamentous growth",1
"342","the first tranche",1
"343","the former rivername",1
"344","the frosted banks",1
"345","the gentle meandering evenlode",1
"346","the gently flowing river evenlode",1
"347","the gloucestershire village",1
"348","the glyme evenlode cherwell windrush",1
"349","the high level",1
"350","the largest villas",1
"351","the limestone river evenlode",1
"352","the local topography",1
"353","the london train",1
"354","the loveliest pair",1
"355","the lovely river evenlode",1
"356","the mill and river evenlode",1
"357","the mill building",1
"358","the mill volunteers",1
"359","the mills location",1
"360","the name baldon",1
"361","the natural environment",1
"362","the nondeliberate mishtake  nontidal reaches",1
"363","the odd joke",1
"364","the old stone building",1
"365","the opposite bank",1
"366","the opposite side",1
"367","the oxford direction",1
"368","the perfect evenlode",1
"369","the picnic area",1
"370","the pollution rules",1
"371","the poor little river evenlode",1
"372","the public accounts committee",1
"373","the quiet evening",1
"374","the river and mill race",1
"375","the river bank",1
"376","the river blade",1
"377","the river evenlode and river glyme",1
"378","the river evenlode catchment",1
"379","the river evenlode charlbury",1
"380","the river evenlode oxfordshire",1
"381","the river evenlode oxfordshire north leigh roman villa",1
"382","the river evenlode stonesfield",1
"383","the river evenlode wears winter",1
"384","the river evenlode west oxfordshire",1
"385","the river evenlodes",1
"386","the river isis",1
"387","the river level",1
"388","the river thame chalgrove brook river evenlode and river glyme",1
"389","the river windrush coln",1
"390","the riverthe team",1
"391","the roman villa",1
"392","the royalist army",1
"393","the same naming conventionderivation",1
"394","the same paths",1
"395","the same sense",1
"396","the same shot",1
"397","the same stretch",1
"398","the scarce flatbrocade moss platygyrium repens",1
"399","the secretive creatures",1
"400","the stony evenlode",1
"401","the strangelooking toothwort",1
"402","the strategic retreat",1
"403","the suez crisis",1
"404","the thames influence",1
"405","the unexpected pleasures",1
"406","the very short hop",1
"407","the villa site",1
"408","the village deer park",1
"409","the water quality",1
"410","the waterwheel tail race",1
"411","the winter sunshine",1
"412","these two broomrape",1
"413","this  timelapse video",1
"414","this abandoned car",1
"415","this avo houses",1
"416","this beautiful vision",1
"417","this ghostly looking plant",1
"418","this habitat improvement project",1
"419","this leather sofa",1
"420","this little secluded spot",1
"421","this local festival",1
"422","this moderate 65 mile guided walk",1
"423","this peaceful spot",1
"424","this timely report",1
"425","this trt funded project",1
"426","today tested levels",1
"427","tributaries glyme evenlode ray thame pang",1
"428","tritiford mill river",1
"429","two flood alerts",1
"430","uks first river bathing spot",1
"431","upper thames field team",1
"432","valuable    sandles",1
"433","waller and essex charles",1
"434","wardens  railway river relics",1
"435","wednesday 14th october",1
"436","wednesday 3rd january",1
"437","west oxfordshire barbarians",1
"438","west oxfordshire gateway",1
"439","which  liked the name",1
"440","wild oxfordshire success",1
"441","william morriss life",1
"442","windrush catchment volunteers",1
"443","your otter brilliant vid",1
