"source","target","value"
"Agriculture and rural land management","Land use - arable",1
"Agriculture and rural land management","Poor Livestock Management",1
"Agriculture and rural land management","Poor nutrient management",2
"Domestic General Public","Private Sewage Treatment",1
"No sector responsible","Drought",1
"Other","Reservoir / Impoundment - non flow related",1
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Transport Drainage",1
"Water Industry","Other (not in list, must add details in comments)",1
"Water Industry","Trade/Industry discharge",1
