"","X","text","n"
"1",1,"farmoor reservoir river thames",14
"2",2,"the river thames",13
"3",3,"farmoor reservoir",2
"4",4,"opposite shrike meadow",2
"5",5,"the reed bed",2
"6",6,"warbler  farmoor reservoir river thames",2
"7",7,"> © jack frowde",1
"8",8,"023  2 shelduck",1
"9",9,"044  2 oystercatcher",1
"10",10,"1 male 1 female",1
"11",11,"104 1000  2 barnacle",1
"12",12,"111  2 pair goosander",1
"13",13,"124 2031  cuckoo",1
"14",14,"131 1000  2 goosander",1
"15",15,"135 1600  cuckoo",1
"16",16,"14 other wtws",1
"17",17,"1530 gtgshrike farmoor reservoir river thames",1
"18",18,"162 1130  2 goosander",1
"19",19,"195 1648  common sandpiper",1
"20",20,"2 july best hurry",1
"21",21,"201  peregrine",1
"22",22,"233 2233  2 goosander",1
"23",23,"242  woodcock",1
"24",24,"244 1048  green sandpiper",1
"25",25,"2710  male",1
