"","X","text","n"
"1",1,"the river quaggy",310
"2",2,"the quaggy river",79
"3",3,"river quaggy",21
"4",4,"upstream  river quaggy",9
"5",5,"the sun  river quaggy",8
"6",6,"23062016 river quaggy",7
"7",7,"local scouts pond",7
"8",8,"river quaggy flooding",7
"9",9,"the quaggy  river quaggy",7
"10",10,"downstream  river quaggy",6
"11",11,"in se london",6
"12",12,"manor house gardens",6
"13",13,"our local river",6
"14",14,"a quaggy river",5
"15",15,"an urban river",5
"16",16,"lake and river quaggy",5
"17",17,"lewisham scout packs",5
"18",18,"our filmed walk",5
"19",19,"the kyd brook",5
"20",20,"the sunshine  river quaggy",5
"21",21,"a river quaggy",4
"22",22,"lee high road",4
"23",23,"quaggy river walk",4
"24",24,"retired wildlife photographer",4
"25",25,"sutcliffe park river",4
