"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106040018300","Domestic General Public","Probable","Not applicable","Private Sewage Treatment","Probable"
"2","GB106040018300","Agriculture and rural land management","Probable","Agriculture - Livestock","Poor Livestock Management","Probable"
"3","GB106040018300","Agriculture and rural land management","Probable","Agriculture - Livestock","Farm/site infrastructure","Probable"
"4","GB106040018300","Domestic General Public","Probable","Domestic/General public","Private Sewage Treatment","Probable"
"5","GB106040018300","Agriculture and rural land management","Probable","Agriculture - Arable","Poor soil management","Probable"
"6","GB106040018300","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"7","GB106040018300","Domestic General Public","Probable","Domestic/General public","Private Sewage Treatment","Probable"
"8","GB106040018300","Agriculture and rural land management","Probable","Agriculture - Livestock","Farm/site infrastructure","Probable"
"9","GB106040018300","Agriculture and rural land management","Probable","Agriculture - Arable","Poor soil management","Probable"
"10","GB106040018300","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"11","GB106040018300","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"12","GB106040018300","Agriculture and rural land management","Suspected","Agriculture - Livestock","Incidents","Suspected"
"13","GB106040018300","Agriculture and rural land management","Probable","Agriculture - Livestock","Poor Livestock Management","Probable"
"14","GB106040018300","Domestic General Public","Probable","Not applicable","Private Sewage Treatment","Probable"
