"","X","text","n"
"1",1,"a crash kent county",48
"2",2,"west river drive",40
"3",3,"open kent county",27
"4",4,"a kentish man",25
"5",5,"the river centre tonbridge",23
"6",6,"west river dr",18
"7",7,"the west kent",13
"8",8,"the river centre",11
"9",9,"west river dr freeway",9
"10",10,"accidentwest river dr",8
"11",11,"the river kent",8
"12",12,"intermittent lane closures",7
"13",13,"new kent county",7
"14",14,"the pamunkey river",7
"15",15,"great  speakers",6
"16",16,"kent county man",6
"17",17,"the river medway",6
"18",18,"the river thames",6
"19",19,"cumbrias river kent",5
"20",20,"live prime minister visits",5
"21",21,"storm desmond body",5
"22",22,"the countys main river",5
"23",23,"the west side",5
"24",24,"west river dr right lane",5
"25",25,"3 mile rd",4
