"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039030420","Water Industry","Confirmed","Other (not in list)","Sewage discharge (continuous)","Confirmed"
"2","GB106039030420","Agriculture and rural land management","Probable","Agriculture - Livestock","Poor Livestock Management","Probable"
"3","GB106039030420","Agriculture and rural land management","Confirmed","Not applicable","Land drainage - operational management","Confirmed"
"4","GB106039030420","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"5","GB106039030420","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"6","GB106039030420","Agriculture and rural land management","Suspected","Not applicable","Land drainage - operational management","Suspected"
"7","GB106039030420","Agriculture and rural land management","Probable","Agriculture - Livestock","Poor Livestock Management","Probable"
"8","GB106039030420","Urban and transport","Suspected","Other (not in list)","Sewage discharge (continuous)","Suspected"
"9","GB106039030420","Water Industry","Confirmed","Other (not in list)","Sewage discharge (continuous)","Confirmed"
"10","GB106039030420","Water Industry","Suspected","Not applicable","Sewage discharge (continuous)","Suspected"
"11","GB106039030420","Urban and transport","Suspected","Not applicable","Sewage discharge (continuous)","Suspected"
"12","GB106039030420","Agriculture and rural land management","Suspected","Agriculture - Livestock","Poor Livestock Management","Suspected"
"13","GB106039030420","No sector responsible","Not applicable","Not applicable","Drought","Confirmed"
"14","GB106039030420","Water Industry","Suspected","Other (not in list)","Sewage discharge (intermittent)","Suspected"
