"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039029920","Water Industry","Confirmed","Water supply","Groundwater abstraction","Confirmed"
"2","GB106039029920","Water Industry","Probable","Water supply","Groundwater abstraction","Probable"
"3","GB106039029920","Other","Probable","Not applicable","Reservoir / Impoundment - non flow related","Probable"
"4","GB106039029920","Urban and transport","Suspected","Urban","Urbanisation - urban development","Suspected"
"5","GB106039029920","Other","Probable","Not applicable","Reservoir / Impoundment - non flow related","Probable"
"6","GB106039029920","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"7","GB106039029920","Urban and transport","Confirmed","Not applicable","Urbanisation - urban development","Confirmed"
"8","GB106039029920","Other","Confirmed","Not applicable","Barriers - ecological discontinuity","Confirmed"
"9","GB106039029920","Other","Confirmed","Not applicable","Reservoir / Impoundment - non flow related","Confirmed"
"10","GB106039029920","Other","Confirmed","Not applicable","Reservoir / Impoundment - non flow related","Confirmed"
"11","GB106039029920","Other","Confirmed","Not applicable","Reservoir / Impoundment - non flow related","Confirmed"
"12","GB106039029920","Agriculture and rural land management","Confirmed","Agriculture - Livestock","Riparian/in-river activities (inc bankside erosion)","Confirmed"
"13","GB106039029920","Water Industry","Confirmed","Not applicable","Groundwater abstraction","Confirmed"
"14","GB106039029920","Other","Confirmed","Not applicable","Reservoir / Impoundment - non flow related","Confirmed"
"15","GB106039029920","No sector responsible","Not applicable","Not applicable","Low Flow (not drought)","Suspected"
"16","GB106039029920","No sector responsible","Not applicable","Not applicable","Not applicable","Not applicable"
