"","X","text","n"
"1",1,"the river kennet",1488
"2",2,"the tasting counter",1291
"3",3,"the ned waihopai",601
"4",4,"flood alert river kennet",523
"5",5,"the ned black label waihopai river sauvignon blanc",373
"6",6,"aerial view cityscape hungerford bridge thames river london charing cross station",268
"7",7,"the thames river",230
"8",8,"blind river",223
"9",9,"the london eye millennium wheel and hungerford bridge",214
"10",10,"the kennet and avon canal",173
"11",11,"the ned waihopai river pinot",149
"12",12,"the river thames",120
"13",13,"the tasting counter wine",94
"14",14,"the river avon",88
"15",15,"the tasting counter staff",82
"16",16,"guided barbel fishing  river kennet handshire avon  dorset stourmiddle severn",81
"17",17,"the ned black label waihopai river pinot",74
"18",18,"barbel fishing guide river kennet handshire avondorset",72
"19",19,"the kennet river",63
"20",20,"the wairau river",58
"21",21,"the hungerford bridge",42
"22",22,"assabet river rail trail marlborough",41
"23",23,"river lawrence lowell lynn marlborough",31
"24",24,"the all blacks",30
"25",25,"the wairau river sauv blanc",30
