"source","target","value"
"Agriculture and rural land management","Poor Livestock Management",1
"Agriculture and rural land management","Poor soil management",2
"Agriculture and rural land management","Reservoir / Impoundment - non flow related",3
"Agriculture and rural land management","Riparian/in-river activities (inc bankside erosion)",2
"Domestic General Public","Private Sewage Treatment",5
"Industry","Private Sewage Treatment",1
"Industry","Trade/Industry discharge",2
"No sector responsible","Drought",1
"No sector responsible","Low Flow (not drought)",2
"No sector responsible","Natural conditions - other",1
