"","X","text","n"
"1",1,"brooklyn flea williamsburg",397
"2",2,"east river brooklyn",392
"3",3,"east river ferry terminal",149
"4",4,"north 6th street kent avenue brooklyn",148
"5",5,"the river thames",42
"6",6,"27 north 6th st",36
"7",7,"btw kent ave",34
"8",8,"90 kent ave",32
"9",9,"the river kent",31
"10",10,"east river state park",30
"11",11,"the north sea",15
"12",12,"the river taxi",14
"13",13,"storm desmond body",12
"14",14,"the north side",12
"15",15,"w 3 others",12
"16",16,"w 2 others",11
"17",17,"north green river park kent",10
"18",18,"w 6 others",10
"19",19,"w 7 others",10
"20",20,"a quiet residential se16 location",9
"21",21,"cumbrias river kent",9
"22",22,"w 5 others",9
"23",23,"w 23 others",8
"24",24,"a lovely modern ground floor",7
"25",25,"an open plan living and dining room fitted kitchen bathroom",7
