"","X","text","n"
"1",1,"the london markets",596
"2",2,"the river",596
"3",3,"the lee navigation",449
"4",4,"pinocchio voice cameo",299
"5",5,"taxi satellite navigation system",277
"6",6,"the river lea",256
"7",7,"the new river",85
"8",8,"various river sites",72
"9",9,"the river beane",52
"10",10,"beane river view",48
"11",11,"sacred earth partners",47
"12",12,"videochat description flirty smile",47
"13",13,"new river path part",43
"14",14,"the lee navigation canal",36
"15",15,"taxi satellite navigation system actress",35
"16",16,"lee jong sukyg entertainment post navigation previous taleyg entertainments",34
"17",17,"related tags kpop star 3sam kimyoo hee yeolpost navigation previous taleyoo jae suk alternatives",34
"18",18,"the ifootpath app",33
"19",19,"river navigation hackney",30
"20",20,"touchscreen navigation dirty",29
"21",21,"18 lee navigation navigation open towpath",26
"22",22,"si youngpost navigation",25
"23",23,"the river hertford",24
"24",24,"the river room",24
"25",25,"lee navigation navigation open towpath",22
