"","X","text","n"
"1",1,"the river thames",1125
"2",2,"the sea river",230
"3",3,"the world racelondon bridge docks",230
"4",4,"the river t",203
"5",5,"the greenwich foot tunnel",150
"6",6,"an open house",135
"7",7,"the cutty sark",118
"8",8,"the river bus",116
"9",9,"the river tameslondonsail awaysail",106
"10",10,"the other side",102
"11",11,"the hudson river",101
"12",12,"335 greenwich street",98
"13",13,"the river boat",96
"14",14,"the thames river",90
"15",15,"greenwich pier river thames greenwich greenwich church street london",89
"16",16,"a river cruise",88
"17",17,"castle canterbury dover",88
"18",18,"north greenwich river view apartments",82
"19",19,"greenwich village",78
"20",20,"large one bed wint cityriver",77
"21",21,"the thames barrier",77
"22",22,"080500 gmt+0000 greenwich",74
"23",23,"greenwich foot tunnel",74
"24",24,"august  best thing",68
"25",25,"the river path",63
