"","X","text","n"
"1",1,"4 bedroom detached house",1
"2",2,"a rather inquisitive grass",1
"3",3,"a tempting tug",1
"4",4,"air traffic arrivals",1
"5",5,"any noise contours",1
"6",6,"crowborough eridge groombridge tun wells",1
"7",7,"dorset arms angling club",1
"8",8,"only dead fish",1
"9",9,"redgate mill lane eridge green tn3",1
"10",10,"some superb nature reserves",1
"11",11,"the  stream",1
"12",12,"the deep humid stream ghylls",1
"13",13,"the eridge stream",1
"14",14,"the eridge stream valley",1
"15",15,"the mainly hornbeam woods",1
"16",16,"the nearest lug",1
"17",17,"the pinpoint fluvial geomorphology course",1
"18",18,"the quothable wit malcolm muggeridge",1
