"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039017580","Agriculture and rural land management","Probable","Agriculture - Livestock","Poor Livestock Management","Probable"
"2","GB106039017580","Urban and transport","Confirmed","Not applicable","Urbanisation - urban development","Confirmed"
"3","GB106039017580","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
"4","GB106039017580","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"5","GB106039017580","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
"6","GB106039017580","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"7","GB106039017580","Other","Confirmed","Not applicable","Barriers - ecological discontinuity","Confirmed"
"8","GB106039017580","Urban and transport","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"9","GB106039017580","Water Industry","Probable","Waste water treatment","Leaking utility sewers","Probable"
"10","GB106039017580","Water Industry","Probable","Waste water treatment","Leaking utility sewers","Probable"
