"","X","text","n"
"1",1,"the willow brook centre bradley",418
"2",2,"activity centre bradley",305
"3",3,"the willow brook centre",179
"4",4,"willow brook centre",71
"5",5,"the jubilee centre bradley",70
"6",6,"730pm willow brook townswomens",42
"7",7,"the hackney brook",42
"8",8,"the stafford arms",22
"9",9,"willow brook centre bradley",20
"10",10,"1pm3pm police dropin surgery",19
"11",11,"the bradley stoke journal",17
"12",12,"very sad news",16
"13",13,"the town square",15
"14",14,"brook street stokeontrent",14
"15",15,"extra willow brook shopping centre bradley",14
"16",16,"brook way activity centre",12
"17",17,"stokeontrent  brook street bureau",11
"18",18,"tue 10th 730pm willow brook townswomens",11
"19",19,"the willow brook harvester",10
"20",20,"tue 8th 730pm willow brook townswomens",10
"21",21,"willow brook harvester bradley",10
"22",22,"brook centre bradley",9
"23",23,"the jubilee centre",9
"24",24,"today thu 14th 1030am12noon community coffee",9
"25",25,"today thu 7th 1030am12noon community coffee",9
