"source","target","value"
"Agriculture and rural land management","Poor nutrient management",1
"Domestic General Public","Misconnections",1
"Local and Central Government","Barriers - ecological discontinuity",1
"Local and Central Government","Flood protection - structures",1
"Local and Central Government","Reservoir / Impoundment - non flow related",1
"No sector responsible","Floating pennywort",2
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Urbanisation - urban development",6
"Water Industry","Sewage discharge (continuous)",6
"Water Industry","Sewage discharge (intermittent)",1
