"","X","text","n"
"1",1,"the ladybower reservoir",3
"2",2,"surrey bonapartes gull",2
"3",3,"18 1972 112 people",1
"4",4,"a commemorative tree",1
"5",5,"a lovely chat",1
"6",6,"a peaceful morning",1
"7",7,"a small boy",1
"8",8,"a sole passenger",1
"9",9,"a tree solitary",1
"10",10,"ah yes good spot",1
"11",11,"ashford  littleton",1
"12",12,"at least 3 weeks",1
"13",13,"british european airways",1
"14",14,"four juvenile great northern divers",1
"15",15,"george vi reservoir borders",1
"16",16,"happy birthday ladybower",1
"17",17,"hi there apologies",1
"18",18,"his majesty king",1
"19",19,"hithermoor road stanwell moor",1
"20",20,"its the western side",1
"21",21,"local mega shore lark",1
"22",22,"more  research ladybower reservoir",1
"23",23,"my  app",1
"24",24,"no visitor point",1
"25",25,"proposed new heathrow 3rd runway",1
