"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106040018410","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"2","GB106040018410","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"3","GB106040018410","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"4","GB106040018410","Industry","Suspected","Other industry, manufacturing and Business","Contaminated land","Suspected"
"5","GB106040018410","Industry","Suspected","Other industry, manufacturing and Business","Contaminated land","Suspected"
"6","GB106040018410","Industry","Suspected","Refineries and Fuel","Contaminated land","Suspected"
"7","GB106040018410","Sector under investigation","Not applicable","Not applicable","Unknown (pending investigation)","Not applicable"
"8","GB106040018410","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"9","GB106040018410","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"10","GB106040018410","Industry","Confirmed","Other industry, manufacturing and Business","Contaminated land","Confirmed"
"11","GB106040018410","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
