"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039023680","Water Industry","Confirmed","Other (not in list)","Sewage discharge (continuous)","Confirmed"
"2","GB106039023680","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"3","GB106039023680","Water Industry","Suspected","Other (not in list)","Sewage discharge (intermittent)","Suspected"
"4","GB106039023680","Water Industry","Confirmed","Other (not in list)","Sewage discharge (continuous)","Confirmed"
"5","GB106039023680","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"6","GB106039023680","No sector responsible","Not applicable","Not applicable","Drought","Suspected"
"7","GB106039023680","Water Industry","Suspected","Waste water treatment","Sewage discharge (continuous)","Suspected"
"8","GB106039023680","No sector responsible","Not applicable","Not applicable","Natural conditions - other","Suspected"
"9","GB106039023680","Water Industry","Suspected","Waste water treatment","Sewage discharge (continuous)","Suspected"
"10","GB106039023680","Agriculture and rural land management","Suspected","Not applicable","Land drainage - operational management","Suspected"
