"","text","n"
"1","toxic coal ash",2009
"2","coal ash spill",1944
"3","the dan river",1514
"4","north carolina river",1272
"5","ncs dan river",680
"6","coal ash safeguards",631
"7","river coal ash",520
"8","hundreds of thousands",443
"9","a few mins",417
"10","the river listen",417
"11","dan river coal ash spill",400
"12","spill spews tons",384
"13","floodwaters breach defenses",375
"14","the coal ash",362
"15","up to 82000 tons",342
"16","duke energy plant",328
"17","the river ash",290
"18","flooded coal ash dump",283
"19","nc river swirls",240
"20","a broken pipe",226
"21","north carolina plant",203
"22","coal ash deal",192
"23","70 miles turtles",190
"24","second coal ash dump leak",185
"25","lead arsenic mercury",166
"26","duke energy coal ash spill",157
"27","coal ash pollution",155
"28","the dan river coal ash spill",150
"29","the ohio river",147
"30","north carolinas dan river",143
"31","the coal ash spill",141
"32","weissassociated press raleigh",141
"33","north carolina coal ash",137
"34","the ash river",135
"35","coal ash flow",134
"36","more than 80000 tons",134
"37","dan river spill",130
"38","the dan river spill",129
"39","river coal ash federal environmental officials",128
"40","a north carolina river",124
"41","61 million gallons",123
"42","major coal ash spill",118
"43","coal ash piles",116
"44","duke energy dam",113
"45","breaking duke energy coal ash spill",112
"46","35 million gallons",111
"47","prolonged direct contact",107
"48","massive coal ash spill",104
"49","dan river coal ash",102
"50","ohio river | ecowatch",102
"51","some 82000 tons",102
"52","north carolina coal ash leak",101
"53","drinking water | ecowatch",98
"54","complete despair last population",95
"55","coal ash lines",93
"56","nsw river carnage",91
"57","former nc coal plant",90
"58","more coal ash wastewater",89
"59","river coal ash epa",88
"60","a deal wit",86
"61","hell lava river column",86
"62","nc and va river",83
"63","red river rivalry",83
"64","a bloated rotting whale",82
"65","a daily basis lawsuit",82
"66","huge toxic coal ash spill",82
"67","coal ash spill north carolina",81
"68","emerald ash borer",81
"69","antiquated storage pit",80
"70","the waccamaw river",80
"71","duke energys coalash spill",75
"72","north carolina river environmentalists",75
"73","toxic coal ash spill",75
"74","a power plant",74
"75","north carolina river bed duke energy",74
"76","duke energy coal ash dump",72
"77","nc river regulators",71
"78","u+200b>duke energy",71
"79","your song bohemian rhapsody",69
"80","an adjacent dump",68
"81","the james river",67
"82","befoul colorado beer",66
"83","queen wdavid bowie",66
"84","the ugly politics",66
"85","antiquated storage pit |",65
"86","a coal ash spill",63
"87","dan river plant",63
"88","toxic coal ash officials",63
"89","epa duke energy",62
"90","coal ash spill duke",61
"91","coal ash waste",61
"92","the mississippi river",60
"93","a colorado brewery",59
"94","the yangtze river",59
"95","fish river water",58
"96","north carolina plant coal ash",58
"97","coal ash spilling",57
"98","the nearby cape",56
"99","duke energy duck pollution complaints",55
"100","nc river regulators duke energy",55
"101","the potomac river",55
"102","a wilmington power plant",54
"103","dan river coal ash spill cleanup",53
"104","north carolina duke energy",53
"105","coal plant accident spews coal ash",52
"106","the hudson river",52
"107","the macleay river",52
"108","the middle fork",52
"109","a large lake",51
"110","its possible coal ash",51
"111","the coal ash sludge",51
"112","tens of thousands",50
"113","arsenic and other toxins",49
"114","coal ash deal nixed duke energy",49
"115","coal ash spews",49
"116","epa and duke energy strike",49
"117","this city stinking",49
"118","volcanic ash iceland",49
"119","coal ash ponds",48
"120","my best friend",48
"121","river duke energy",48
"122","the emory river",48
"123","ash spill",47
"124","nc spill site",47
"125","giant duke energy",46
"126","the toutle river",46
"127","prosecutors duke energy",45
"128","a  video",44
"129","exclusive duke energy",44
"130","retired duke energy plant",44
"131","these fast moving particles",44
"132","a major north carolina river",43
"133","newly found coal ash spill",43
"134","the featured image",43
"135","inger ash wolfe",42
"136","north carolina",42
"137","a nearby river",41
"138","coal ash cleanup",41
"139","coal ash pit",41
"140","nc virginia sign deal",41
"141","the neuse river",41
"142","breaking duke energy  spill",40
"143","coal ash safety policies",40
"144","coal ash water",40
"145","more ticking time bombs",40
"146","ongoing  spill",40
"147","the   spill",40
"148","the first time",40
"149","ash pond drainage",39
"150","coal ash storage",39
"151","a dam breach",38
"152","a steady stream",38
"153","coal ash",38
"154","coal ash disaster",38
"155","coal ash wastewater",38
"156","duke energy pond coal ash",38
"157","nc coal ash",38
"158","ash river minneso",36
"159","dan river steam station",36
"160","duke energy ash spill",36
"161","texas qb david ash",36
"162","the river cynon",36
"163","a coal ash pond",35
"164","coal ash epa",35
"165","coal ash landfill",34
"166","the animas river",34
"167","the french broad river",34
"168","x dagon ash river rising sun rock festival",34
"169","a beautiful emerald green",33
"170","dan river coal ash problems",33
"171","duke   energy coal pollution denial",33
"172","hidden camera documents year",33
"173","illinois only scenic river power company",33
"174","north carolina river swirls",33
"175","river | thinkprogress",33
"176","this gross red debris filled red flow",33
"177","toxic waste seeping",33
"178","||  river",32
