"","X","text","n"
"1",1,"herts  stevenage  cameron brook",12
"2",2,"stevenage  cameron brook",12
"3",3,"the stevenage brook",7
"4",4,"administration officer  stevenage  brook street",6
"5",5,"the river beane",4
"6",6,"brook street school",3
"7",7,"our community ticket scheme",3
"8",8,"the stevenage game",3
"9",9,"aston end brook",2
"10",10,"finance administrator  government  stevenage  brook street",2
"11",11,"herts  stevenage  cameron brook associates",2
"12",12,"the stevenage archives",2
"13",13,"£279995  3 bedroom end",1
"14",14,"£479995 price",1
"15",15,"£550000  4 bedroom detached house",1
"16",16,"1404  stevenage pump",1
"17",17,"19 january 2009 norton green tip",1
"18",18,"1936 one stevenage appliance",1
"19",19,"19th oct monmouth",1
"20",20,"2 grey wagtail",1
"21",21,"2141 stevenage papa",1
"22",22,"4 bedroom house",1
"23",23,"6 august 1975 astonbury wood",1
"24",24,"a big fight ngl",1
"25",25,"a cement lorry",1
