"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039017650","Local and Central Government","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"2","GB106039017650","Urban and transport","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"3","GB106039017650","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"4","GB106039017650","Water Industry","Probable","Waste water treatment","Leaking utility sewers","Probable"
"5","GB106039017650","Water Industry","Probable","Waste water treatment","Incidents","Probable"
"6","GB106039017650","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
"7","GB106039017650","Local and Central Government","Probable","Environment, Farming, Rural","Flood protection - structures","Probable"
"8","GB106039017650","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"9","GB106039017650","Water Industry","Probable","Waste water treatment","Incidents","Probable"
"10","GB106039017650","Local and Central Government","Probable","Environment, Farming, Rural","Barriers - ecological discontinuity","Probable"
"11","GB106039017650","Water Industry","Probable","Waste water treatment","Leaking utility sewers","Probable"
"12","GB106039017650","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
"13","GB106039017650","Water Industry","Probable","Waste water treatment","Incidents","Probable"
"14","GB106039017650","Water Industry","Probable","Waste water treatment","Leaking utility sewers","Probable"
"15","GB106039017650","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
