"","text","n"
"1","sugar ray leonard",222
"2","fci ray brook",99
"3","gennady golovkin brook",72
"4","ray brook brewhouse",71
"5","country brook apartments",65
"6","joshua blvd ray",65
"7","ray brook road",58
"8","ray brook federal prison",53
"9","a youtube video  beaver brook golf club mike weiks ray wilner",33
"10","ray brook new york",32
"11","meadow brook andhitheatre",25
"12","pentagon psy ops candaign",25
"13","tom vanden brook",24
"14","ray brook ny",23
"15","ray brook",22
"16","usa today staff",22
"17","golovkin kell brook",21
"18","meadow brook music festival",21
"19","uncertain brook lopez",21
"20","sugar ray leonard kell brook",20
"21","sugar ray robinson",20
"22","b feat ray ellis single version",19
"23","host matt ray interview",19
"24","the 7foot center",19
"25","the olympic village",18
"26","the state department",18
"27","high peaks animal hospital | high peaks animal hospital ray brook new york",17
"28","a  video",16
"29","boxing greats sugar ray calzaghe",16
"30","stevie rays blues",16
"31","230 east main st",15
"32","brook street louisville",15
"33","old military road",15
"34","ray j",15
"35","tom vanden brook ray locker usa",15
"36","p a brook",14
"37","placid 2nd update",14
"38","ray lane scale",14
"39","the adirondack park agency",14
"40","exclusive big changes",13
"41","ray ban sunglasses",13
"42","severe thunderstorm warning",13
"43","prisonsfederal prison system",12
"44","the ray brook",12
"45","brook music festival",11
"46","ray  yaron brook free market revolution",11
"47","ray brook accident",11
"48","spring brook nd",11
"49","their future involvement",11
"50","86 ray brook",10
"51","a false alarm",10
"52","brook sugar ray robinson",10
"53","editor ray locker",10
"54","federal correctional institution ray brook",10
"55","mistral point maroubra",10
"56","new york prison ja rule",10
"57","old barn road",10
"58","saranac lake rail crossing",10
"59","shady brook farms",10
"60","stony brook university",10
"61","the federal correctional institution",10
"62","the federal prison",10
"63","writer tom vanden brook",10
"64","2 tix ray",9
"65","adirondack park agency",9
"66","brook ray allen lopez",9
"67","business insider",9
"68","fci ray brook 2nd qtr subsistence",9
"69","national reentry week conference",9
"70","ray ellis single version",9
"71","shark ray populations",9
"72","the federal bureau",9
"73","the publics assistance",9
"74","=druggies brook",8
"75","121  classic wet flies",8
"76","1st annual ray lolargo jr dart tournament",8
"77","adirondack correctional facility",8
"78","branch brook park",8
"79","former corner brook mayor ray pollett",8
"80","fred klein  ray",8
"81","nba free agents list",8
"82","nba trade rumors",8
"83","ray brook prison",8
"84","ray brook rd",8
"85","ray locker usa",8
"86","south side grille",8
"87","sugar ray spence",8
"88","the brook fight",8
"89","the state police",8
"90","two potsdam residents",8
"91","adirondack fire towers ray brook",7
"92","american angler brook trout",7
"93","broad brook opera house",7
"94","c brook lopez",7
"95","greats sugar ray robinson",7
"96","his new book",7
"97","lake golf club",7
"98","movie deals",7
"99","stony brook professor",7
"100","sugar ray brookspence",7
"101","troop b headquarters",7
"102","turkey brands disney team",7
"103","very effective heart disease treatment",7
"104","yaron brook show ray dalios attack",7
"105","4 ray lamontagne row",6
"106","a business account",6
"107","a federal prison",6
"108","an amber alert",6
"109","bankby allie marshal",6
"110","breakfast ray allen",6
"111","brook benton ray",6
"112","brook music festival rochester mi",6
"113","brook music theatre row",6
"114","brook new york",6
"115","cheap ray bans",6
"116","diallo geovonni bossie",6
"117","fatal ray brook collision",6
"118","his editor ray",6
"119","honeysuckle white®",6
"120","kell brookerrol spence",6
"121","kicker  mountain brook",6
"122","moe brook villion",6
"123","new york state police",6
"124","race brook country club",6
"125","ray brook federa",6
"126","ray brook state prison",6
"127","sp ray brook",6
"128","sugar ray leon",6
"129","sugar ray leonard inspires britains",6
"130","the new york state department",6
"131","the new york state police",6
"132","top prospect award",6
"133","willie ray smith awards",6
"134","your hilarious deal",6
"135","131 wandering brook road irmo",5
"136","29063 | rental",5
"137","500 pm cdt",5
"138","6 ray lamontagne",5
"139","a brook park business",5
"140","a free twoday",5
"141","a mediumsecurity prison",5
"142","associate veterinarian | high peaks animal hospital",5
"143","bbc sport",5
"144","brook lopez",5
"145","brook music festival rochester hills",5
"146","bubba ray dudley",5
"147","easy feat moe brook",5
"148","eight weight jumpers",5
"149","ggg boxing legend sugar ray leonard",5
"150","incipient pulmonary tuberculosis",5
"151","lisa ray nude videos",5
"152","ray brook ny  police prison escapee",5
"153","robert graham | ray brook crew neck",5
"154","several state adirondack park agency commissioner",5
"155","sexy brunette anorexic girls photos",5
"156","stony brook wr ray bolden",5
"157","sugar ray leonard michael",5
"158","the chicago bulls",5
"159","the new york state hospital",5
"160","the river ray",5
"161","troop bstate police",5
"162","usanystony brook xray aide",5
"163","wr ray bolden",5
"164","wreckit ralph bluray™ release",5
"165","<u+261e> ray ortlund  session",4
"166","1215 pm cdt",4
"167","159wb ray brook",4
"168","2016 max staffordclark jeff banks",4
"169","2500 high roof",4
"170","715 pm cdt",4
"171","a 5050 fight",4
"172","a better fighter",4
"173","a brook fight",4
"174","a child safety seat check",4
"175","a convenient location",4
"176","a staff member",4
"177","amazing animal show dazzles families",4
"178","big tupper resort",4
"179","breaking news ja rule",4
"180","broken eye socket",4
"181","brook  york",4
"182","brook hills mens conference",4
"183","csi state police lab",4
"184","cuomos tight communications restrictions ray brook ap  writers",4
"185","dec ray brook dispatch",4
"186","earlier this yea",4
"187","endlessly single version",4
"188","environmental dispatch office",4
"189","even ray charles",4
"190","experienced veterinarian needed | veterinary resources",4
"191","former fci ray brook corrections officer",4
"192","frank morgan judy garland",4
"193","free agent workout |",4
"194","full info",4
"195","ggg fight kell brook",4
"196","hagler  kell brook",4
"197","her new book",4
"198","his hof speech",4
"199","his sprained foot",4
"200","lana del ray",4
"201","latest long island",4
"202","march 21  happy birthday",4
"203","meadow brook music festival tickets",4
"204","my hero sugar ray robinson",4
"205","my new sounds",4
"206","nba free agents",4
"207","nd spring brook nd",4
"208","nets center brook lopez",4
"209","new ja rule",4
"210","not ray allen",4
"211","oak brook illinois",4
"212","old military rd",4
"213","our upcoming  discussant shankar acharya",4
"214","pioneering xray techniques",4
"215","place bid book",4
"216","prime ray allen",4
"217","prison ja rule",4
"218","ray allen lmao",4
"219","ray brook biomass project",4
"220","ray brook federal correctional institution",4
"221","ray brook headquarters",4
"222","ray brook sanatorium",4
"223","ray brook state police",4
"224","ray brook sunoco",4
"225","ray harryhausens fantasy scrapbook animation competition vote",4
"226","ray nd epping",4
"227","rochester ray lamontagne",4
"228","sara fay egan events",4
"229","steve nash ray allen",4
"230","the 2008 financial crisis",4
"231","the 9th green",4
"232","the adirondack daily enterprise",4
"233","the adirondack park agency apa",4
"234","the different faces",4
"235","the federal correctional institute",4
"236","the federal correctional institution ray brook",4
"237","the federal corrections institute",4
"238","the first day",4
"239","the first time",4
"240","the indian economy",4
"241","the joshua fund",4
"242","the last decade",4
"243","the north country",4
"244","the pilot pell grant program",4
"245","the real deal",4
"246","the river thame",4
"247","the state adirondack park agency board",4
"248","to fci ray brook",4
"249","to ray brook",4
"250","up to $3560 value",4
"251","very fast herpes",4
"252","veterinarian needed | veterinary resources",4
"253","vocationals ray mcgrew",4
"254","willie ray smith award finalists",4
"255","yelp liquor store",4
"256","your excellent review",4
"257","1955 ray kroc",3
"258","1st annual reentry summit",3
"259","2011 555 pm",3
"260","2016 rakesh mohan",3
"261","315 bramble brook",3
"262","a babbling brook",3
"263","a big push",3
"264","a bubbling brook",3
"265","a conservative supreme court",3
"266","a cool fountain",3
"267","a corrections officer",3
"268","a fatal fire",3
"269","a franchise agent",3
"270","a great fight",3
"271","a larger version",3
"272","a little ray",3
"273","a photo show",3
"274","a quantumenhanced xray microscope",3
"275","a rainy night",3
"276","a religious liberty case",3
"277","active duty police patrolman raymond kopchak",3
"278","adirondack cell tower building boom",3
"279","affordable housing bill",3
"280","all star team",3
"281","angel heredia talk golovkin",3
"282","apa board  ray brook",3
"283","associated press",3
"284","at fci ray brook",3
"285","billy morrisenzoray brown",3
"286","brennen d smith",3
"287","brook  sugar ray leonard",3
"288","brook benton ray charles",3
"289","brook bully ray",3
