"","X","text","n"
"1",1,"the river kent",89
"2",2,"pollution leak people",33
"3",3,"the cuyahoga river",28
"4",4,"a kent river followin",24
"5",5,"an elderly man",16
"6",6,"the housatonic river",15
"7",7,"the river stour",14
"8",8,"the grand river",13
"9",9,"the thames river",13
"10",10,"a kent river",8
"11",11,"nyc | brooklyn",8
"12",12,"the river thames",8
"13",13,"east river water front kent",7
"14",14,"a lengthy closure",6
"15",15,"curtis road water road",6
"16",16,"flood chartham canterbury kent",6
"17",17,"kent road  bridge replacement",6
"18",18,"neiner road  bridge",6
"19",19,"new post river stour",6
"20",20,"the chester river",6
"21",21,"the fish river",6
"22",22,"the river water",6
"23",23,"at least a foot",5
"24",24,"kendals river kent",5
"25",25,"the ice jam",5
