"source","target","value"
"Agriculture and rural land management","Land use - arable",1
"Agriculture and rural land management","Poor Livestock Management",2
"Agriculture and rural land management","Poor nutrient management",5
"No sector responsible","Drought",1
"No sector responsible","North american signal crayfish",1
"No sector responsible","Water fern",1
"Other","Barriers - ecological discontinuity",2
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Transport Drainage",1
"Water Industry","Sewage discharge (continuous)",4
"Water Industry","Sewage discharge (intermittent)",4
