"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106040018280","Agriculture and rural land management","Probable","Agriculture - Livestock","Farm/site infrastructure","Probable"
"2","GB106040018280","Agriculture and rural land management","Probable","Agriculture - Arable","Poor soil management","Probable"
"3","GB106040018280","Domestic General Public","Probable","Domestic/General public","Private Sewage Treatment","Probable"
"4","GB106040018280","Agriculture and rural land management","Probable","Not applicable","Reservoir / Impoundment - non flow related","Probable"
"5","GB106040018280","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"6","GB106040018280","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"7","GB106040018280","No sector responsible","Not applicable","Not applicable","Drought","Probable"
"8","GB106040018280","Other","Probable","Not applicable","Reservoir / Impoundment - non flow related","Probable"
"9","GB106040018280","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"10","GB106040018280","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"11","GB106040018280","Domestic General Public","Probable","Domestic/General public","Private Sewage Treatment","Probable"
"12","GB106040018280","Local and Central Government","Probable","Environment, Farming, Rural","Water level management in impounded water bodies","Confirmed"
"13","GB106040018280","Agriculture and rural land management","Probable","Agriculture - Arable","Poor soil management","Probable"
"14","GB106040018280","Agriculture and rural land management","Probable","Agriculture - Livestock","Farm/site infrastructure","Probable"
"15","GB106040018280","Domestic General Public","Probable","Not applicable","Private Sewage Treatment","Probable"
"16","GB106040018280","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"17","GB106040018280","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"18","GB106040018280","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"19","GB106040018280","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"20","GB106040018280","Agriculture and rural land management","Probable","Agriculture - Arable","Poor soil management","Probable"
"21","GB106040018280","Agriculture and rural land management","Probable","Agriculture - Livestock","Farm/site infrastructure","Probable"
"22","GB106040018280","Domestic General Public","Probable","Domestic/General public","Private Sewage Treatment","Probable"
