"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039029900","Local and Central Government","Confirmed","Environment, Farming, Rural","Impoundment - u/s elevated water level","Confirmed"
"2","GB106039029900","Local and Central Government","Confirmed","Environment, Farming, Rural","Reservoir / Impoundment - non flow related","Confirmed"
"3","GB106039029900","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
"4","GB106039029900","Urban and transport","Confirmed","Other (not in list)","Barriers - ecological discontinuity","Confirmed"
"5","GB106039029900","Water Industry","Confirmed","Water supply","Groundwater abstraction","Confirmed"
"6","GB106039029900","Urban and transport","Confirmed","Urban","Urbanisation - urban development","Confirmed"
"7","GB106039029900","Industry","Confirmed","Not applicable","Surface water abstraction","Confirmed"
"8","GB106039029900","Water Industry","Confirmed","Water supply","Groundwater abstraction","Confirmed"
"9","GB106039029900","Urban and transport","Confirmed","Urban","Urbanisation - urban development","Confirmed"
"10","GB106039029900","Urban and transport","Confirmed","Urban","Urbanisation - urban development","Confirmed"
"11","GB106039029900","Water Industry","Confirmed","Water supply","Groundwater abstraction","Confirmed"
"12","GB106039029900","Water Industry","Confirmed","Water supply","Groundwater abstraction","Confirmed"
