"source","target","value"
"Agriculture and rural land management","Barriers - ecological discontinuity",1
"Agriculture and rural land management","Poor nutrient management",6
"Domestic General Public","Misconnections",3
"Domestic General Public","Private Sewage Treatment",2
"Domestic General Public","Sewage discharge (continuous)",2
"No sector responsible","Drought",2
"No sector responsible","Natural conditions - other",1
"No sector responsible","Topmouth gudgeon",1
"Other","Private Sewage Treatment",1
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Flood protection - structures",1
"Urban and transport","Transport Drainage",3
"Urban and transport","Urbanisation - urban development",5
