"source","target","value"
"Domestic General Public","Misconnections",6
"Local and Central Government","Barriers - ecological discontinuity",1
"Local and Central Government","Land drainage - structures",1
"Local and Central Government","Other (not in list, must add details in comments)",1
"No sector responsible","Chinese mitten crab",1
"No sector responsible","Natural conditions - other",2
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Barriers - ecological discontinuity",1
"Urban and transport","Flood protection - structures",2
"Urban and transport","Other (not in list, must add details in comments)",1
"Urban and transport","Urbanisation - urban development",2
"Water Industry","Leaking utility sewers",4
"Water Industry","Sewage discharge (intermittent)",3
