"","X","text","n"
"1",1,"west virginia plans",418
"2",2,"west virginia river",367
"3",3,"west virginia chemical spill",201
"4",4,"previously estimated | thinkprogress",175
"5",5,"the potomac river",166
"6",6,"police search delaware river",159
"7",7,"virginia van wreck",152
"8",8,"the elk river",129
"9",9,"a chemical spill",106
"10",10,"the james river",99
"11",11,"the new river",91
"12",12,"a west virginia river",88
"13",13,"the ohio river",77
"14",14,"west virginia move",69
"15",15,"virginia drinking water |",62
"16",16,"clean water act violations",55
"17",17,"the elk river chemical spill",53
"18",18,"virginia drinking water",52
"19",19,"virginia water radio",46
"20",20,"west virginia american water",45
"21",21,"new river gorge",44
"22",22,"water supply report",44
"23",23,"so many west virginians",37
"24",24,"the jackson river",37
"25",25,"the elk river industry",36
